formatted_date,articles,sentiment
2023-08-03,1,1
2023-08-08,2,2
2023-08-09,1,-1
2023-08-11,8,6
2023-08-13,3,1
2023-08-14,6,2
2023-08-15,2,0
2023-08-16,1,1
2023-08-18,2,0
2023-08-30,1,1
2023-09-05,3,3
2023-09-08,11,9
2023-09-11,9,5
2023-09-13,3,-1
2023-09-15,1,1
2023-09-18,1,-1
2023-09-19,1,1
2023-09-29,1,-1
2023-10-09,1,1
2023-10-10,2,2
2023-10-11,1,1
2023-10-23,1,-1
2023-10-25,1,1
2023-10-30,6,6
2023-10-31,6,4
2023-11-01,5,3
2023-11-02,2,2
2023-11-03,6,4
2023-11-06,2,-2
2023-11-09,1,-1
2023-11-13,1,1
2023-11-14,1,-1
2023-11-15,1,1
2023-11-20,6,2
2023-11-21,3,-1
2023-11-27,1,1
2023-11-29,1,1
2023-12-12,2,2
2023-12-18,3,1
2024-02-07,23,-9
2024-02-27,1,-1
2024-03-03,2,2
2024-03-04,5,-1
2024-03-05,4,4
2024-03-06,1,-1
2024-03-07,4,2
2024-03-11,2,2
2024-03-13,1,1
2024-03-22,2,2
2024-03-25,2,2
2024-03-27,1,1
2024-04-09,2,2
2024-04-22,3,3
2024-05-06,3,3
2024-05-08,2,0
2024-05-09,2,0
2024-05-10,1,1
2024-05-13,1,1
2024-05-14,4,0
2024-05-15,4,0
2024-05-16,3,1
2024-05-17,1,1
2024-05-23,1,1
2024-06-03,1,1
2024-06-04,1,1
2024-06-05,1,1
2024-06-07,4,2
2024-07-02,1,1
2024-07-25,1,1
