formatted_date,articles,sentiment
2023-08-02,9,-5
2023-08-03,2,0
2023-08-07,1,1
2023-08-11,1,-1
2023-08-14,1,1
2023-08-17,1,1
2023-08-28,1,-1
2023-09-01,2,0
2023-09-04,1,1
2023-09-07,5,1
2023-09-08,3,1
2023-09-12,1,1
2023-09-13,2,-2
2023-09-14,1,1
2023-09-15,1,-1
2023-09-20,2,-2
2023-09-21,1,-1
2023-09-26,1,1
2023-09-27,4,2
2023-10-04,1,-1
2023-10-09,1,1
2023-10-12,2,-2
2023-10-13,1,1
2023-10-23,1,-1
2023-10-25,2,-2
2023-10-30,1,-1
2023-11-01,8,0
2023-11-02,4,-4
2023-11-03,1,-1
2023-11-06,2,0
2023-11-07,2,-2
2023-11-08,1,1
2023-11-10,1,1
2023-11-15,1,1
2023-11-17,1,-1
2023-11-27,1,1
2023-11-28,1,-1
2023-11-30,1,1
2023-12-01,1,-1
2023-12-04,2,2
2023-12-05,1,1
2023-12-06,1,-1
2023-12-07,1,1
2023-12-11,1,-1
2023-12-12,1,-1
2023-12-19,1,1
2023-12-26,1,1
2023-12-28,1,1
2024-01-01,1,-1
2024-01-03,1,1
2024-01-04,1,1
2024-01-10,1,1
2024-01-11,1,1
2024-01-15,2,2
2024-01-16,1,1
2024-01-17,1,-1
2024-01-29,2,2
2024-01-30,1,-1
2024-02-10,19,-19
2024-02-14,1,-1
2024-02-16,1,1
2024-02-19,1,1
2024-02-20,1,1
2024-02-21,12,-4
2024-02-22,5,-1
2024-02-23,1,1
2024-02-28,1,-1
2024-03-01,2,-2
2024-03-03,1,1
2024-03-04,1,1
2024-03-05,1,-1
2024-03-06,2,-2
2024-03-08,1,1
2024-03-09,1,1
2024-03-11,2,2
2024-03-13,3,-3
2024-03-14,3,1
2024-03-19,2,0
2024-03-22,1,1
2024-03-27,1,-1
2024-04-02,1,1
2024-04-04,1,1
2024-04-11,1,1
2024-04-23,2,2
2024-04-24,3,3
2024-04-25,2,0
2024-04-29,5,5
2024-04-30,1,1
2024-05-01,11,-5
2024-05-02,6,-4
2024-05-05,2,2
2024-05-06,3,1
2024-05-13,2,0
2024-05-15,3,1
2024-05-20,3,1
2024-05-21,1,-1
2024-05-22,2,0
2024-05-23,4,2
2024-05-24,3,1
2024-05-28,1,1
2024-05-29,1,-1
2024-05-31,3,3
2024-06-02,1,1
2024-06-03,4,-2
2024-06-04,2,2
2024-06-05,1,-1
2024-06-06,2,0
2024-06-07,1,1
2024-06-11,1,-1
2024-06-12,1,-1
2024-06-13,2,2
2024-06-14,3,-1
2024-06-17,1,-1
2024-06-18,2,2
2024-06-21,1,-1
2024-06-23,1,-1
2024-06-25,1,-1
2024-06-27,1,-1
2024-06-28,1,-1
2024-07-01,1,1
2024-07-11,1,1
2024-07-15,3,1
2024-07-24,1,-1
2024-07-25,1,-1
