formatted_date,articles,sentiment
2023-08-04,1,-1
2023-08-10,2,2
2023-08-11,1,-1
2023-08-13,1,-1
2023-08-14,2,0
2023-08-15,1,1
2023-08-17,1,1
2023-08-21,3,-1
2023-09-04,1,1
2023-09-05,1,1
2023-09-06,1,-1
2023-09-07,1,1
2023-09-08,3,-3
2023-09-09,1,1
2023-09-15,1,-1
2023-09-18,2,0
2023-09-19,1,1
2023-09-20,2,2
2023-09-28,2,-2
2023-10-03,1,1
2023-10-12,1,-1
2023-10-16,2,0
2023-10-17,2,0
2023-10-18,1,1
2023-10-19,1,1
2023-10-23,1,1
2023-10-25,2,2
2023-10-26,1,1
2023-10-31,1,-1
2023-11-01,5,1
2023-11-03,1,1
2023-11-06,1,1
2023-11-07,2,0
2023-11-08,3,-1
2023-11-09,6,-2
2023-11-10,4,2
2023-11-24,2,0
2023-12-01,1,1
2023-12-05,1,-1
2023-12-06,2,-2
2023-12-07,1,-1
2023-12-08,3,1
2023-12-14,2,0
2023-12-30,1,1
2024-01-02,1,1
2024-01-06,1,1
2024-01-09,1,-1
2024-01-30,1,1
2024-02-05,10,4
2024-02-06,1,1
2024-02-07,8,2
2024-02-08,1,1
2024-02-20,1,-1
2024-03-12,2,0
2024-03-15,1,1
2024-03-18,1,1
2024-03-19,4,0
2024-03-20,4,2
2024-03-21,4,0
2024-03-22,1,1
2024-03-25,2,2
2024-03-27,2,2
2024-04-12,1,1
2024-04-17,2,-2
2024-04-18,1,-1
2024-04-19,1,1
2024-04-22,1,-1
2024-04-29,1,-1
2024-05-02,1,1
2024-05-05,1,1
2024-05-06,2,0
2024-05-07,4,2
2024-05-08,1,1
2024-05-09,3,1
2024-05-12,1,1
2024-05-14,1,-1
2024-05-28,1,-1
2024-06-12,1,1
2024-06-14,1,1
2024-06-24,4,2
2024-06-25,2,2
2024-06-26,1,1
2024-06-28,1,-1
2024-07-22,3,1
