formatted_date,articles,sentiment
2023-08-04,14,10
2023-08-06,5,3
2023-08-07,68,8
2023-08-08,21,-3
2023-08-09,12,8
2023-08-10,4,2
2023-08-11,7,3
2023-08-14,2,0
2023-08-15,3,-1
2023-08-18,1,-1
2023-08-20,1,-1
2023-08-21,1,-1
2023-08-24,3,-1
2023-08-28,2,-2
2023-08-31,15,1
2023-09-01,4,0
2023-09-05,1,1
2023-09-06,3,-1
2023-09-07,5,3
2023-09-08,4,2
2023-09-11,2,0
2023-09-13,2,0
2023-09-15,1,1
2023-10-10,2,2
2023-10-13,2,2
2023-10-18,5,5
2023-10-19,2,0
2023-10-24,2,2
2023-10-31,1,-1
2023-11-02,1,-1
2023-11-05,1,1
2023-11-06,2,0
2023-11-07,17,1
2023-11-08,9,7
2023-11-10,3,-1
2023-11-13,1,-1
2023-11-19,2,2
2023-11-29,1,-1
2023-12-02,1,-1
2023-12-05,1,1
2023-12-07,1,1
2023-12-10,1,1
2023-12-12,2,2
2023-12-13,1,1
2023-12-14,3,-1
2023-12-15,1,-1
2023-12-20,1,-1
2023-12-27,1,1
2024-01-02,1,1
2024-01-07,1,1
2024-01-08,4,4
2024-01-10,1,1
2024-01-11,1,1
2024-01-17,1,1
2024-01-19,1,1
2024-01-22,2,2
2024-01-24,1,1
2024-01-31,1,1
2024-02-07,1,1
2024-02-08,47,5
2024-02-09,2,0
2024-02-12,1,1
2024-02-13,7,3
2024-02-14,11,5
2024-02-15,10,8
2024-02-16,3,1
2024-02-18,1,1
2024-02-23,1,1
2024-02-28,1,1
2024-03-11,1,1
2024-03-15,1,-1
2024-03-18,1,-1
2024-03-26,6,4
2024-03-27,2,0
2024-03-28,1,1
2024-04-09,1,1
2024-04-10,2,2
2024-04-11,2,0
2024-04-12,1,1
2024-04-16,2,0
2024-04-17,23,-5
2024-04-18,10,6
2024-04-19,3,-1
2024-04-22,1,1
2024-04-24,6,0
2024-04-25,12,4
2024-04-26,11,3
2024-04-28,2,-2
2024-04-29,2,2
2024-04-30,2,0
2024-05-02,1,1
2024-05-07,1,1
2024-05-13,1,-1
2024-05-14,1,1
2024-05-16,1,-1
2024-05-21,1,1
2024-05-23,1,-1
2024-05-27,3,1
2024-05-28,3,-1
2024-05-29,4,2
2024-05-30,4,0
2024-06-01,1,1
2024-06-05,1,1
2024-06-07,2,2
2024-06-10,1,1
2024-06-11,13,9
2024-06-12,5,3
2024-06-13,2,0
2024-06-14,1,-1
2024-06-20,2,2
2024-06-26,2,2
2024-06-28,2,2
2024-07-15,1,1
2024-07-17,1,-1
2024-07-19,4,2
2024-07-22,1,1
2024-07-23,2,2
2024-07-24,12,0
2024-07-25,7,3
