formatted_date,articles,sentiment
2023-08-02,2,0
2023-08-08,3,-1
2023-08-16,2,0
2023-08-18,1,1
2023-09-01,1,1
2023-09-15,6,4
2023-09-25,5,1
2023-09-26,31,11
2023-09-27,10,2
2023-09-28,11,5
2023-10-02,1,1
2023-10-03,1,-1
2023-10-04,3,-1
2023-10-05,1,1
2023-10-06,1,1
2023-10-16,2,-2
2023-10-19,1,-1
2023-10-20,2,0
2023-10-26,1,1
2023-10-31,1,-1
2023-11-01,2,2
2023-11-06,3,1
2023-11-07,3,-1
2023-11-08,1,1
2023-11-09,2,0
2023-11-10,1,1
2023-11-20,1,1
2023-11-21,4,4
2023-11-26,1,-1
2023-11-27,1,1
2023-12-01,1,-1
2023-12-03,1,1
2023-12-11,1,-1
2023-12-12,1,1
2023-12-13,2,-2
2023-12-14,4,2
2023-12-15,1,-1
2023-12-21,1,1
2023-12-27,3,1
2023-12-28,1,-1
2024-01-01,3,3
2024-01-02,2,2
2024-01-03,1,1
2024-01-05,2,2
2024-01-10,1,-1
2024-01-16,1,-1
2024-01-21,1,1
2024-01-22,2,0
2024-01-24,2,2
2024-01-26,1,1
2024-01-28,1,-1
2024-01-29,1,1
2024-01-30,1,-1
2024-02-01,1,1
2024-02-04,2,2
2024-02-05,1,1
2024-02-07,1,-1
2024-02-08,4,0
2024-02-14,1,1
2024-02-15,1,-1
2024-02-19,1,-1
2024-02-20,1,-1
2024-02-22,1,1
2024-03-04,1,1
2024-03-05,3,1
2024-03-06,3,1
2024-03-07,5,1
2024-03-08,1,1
2024-03-11,1,-1
2024-03-14,1,1
2024-03-18,1,1
2024-03-22,1,1
2024-04-04,2,-2
2024-04-19,1,1
2024-04-21,1,-1
2024-04-22,1,1
2024-04-28,1,-1
2024-04-29,13,-1
2024-04-30,2,2
2024-05-01,2,0
2024-05-02,5,1
2024-05-03,1,1
2024-05-08,4,4
2024-05-09,4,-4
2024-05-10,2,2
2024-05-12,1,-1
2024-05-13,2,0
2024-05-15,3,-3
2024-05-22,2,0
2024-05-23,1,1
2024-05-24,1,1
2024-05-29,1,1
2024-06-03,1,-1
2024-06-04,3,3
2024-06-05,2,0
2024-06-24,1,1
2024-06-28,2,2
2024-07-17,1,1
