formatted_date,articles,sentiment
2023-08-02,4,2
2023-08-03,5,1
2023-08-04,1,-1
2023-08-07,2,0
2023-08-10,1,1
2023-08-17,3,-1
2023-08-18,1,-1
2023-08-24,1,-1
2023-08-29,2,0
2023-08-30,5,3
2023-08-31,2,2
2023-09-05,1,1
2023-09-06,5,1
2023-09-07,2,0
2023-09-08,1,1
2023-09-09,1,1
2023-09-10,1,1
2023-09-12,1,1
2023-09-15,1,1
2023-09-17,2,2
2023-09-18,4,2
2023-09-19,6,2
2023-09-20,2,0
2023-09-28,1,1
2023-09-29,1,-1
2023-10-05,2,2
2023-10-06,4,0
2023-10-18,1,1
2023-10-20,2,2
2023-10-24,3,1
2023-10-26,1,-1
2023-10-30,1,-1
2023-10-31,3,-1
2023-11-01,8,0
2023-11-02,5,-1
2023-11-03,7,-1
2023-11-05,1,-1
2023-11-06,3,-3
2023-11-07,1,-1
2023-11-13,2,0
2023-11-16,1,1
2023-11-24,1,1
2023-11-30,1,1
2023-12-04,1,1
2023-12-06,3,1
2023-12-07,1,-1
2023-12-08,3,3
2023-12-11,1,1
2023-12-12,1,1
2023-12-13,4,0
2023-12-14,3,3
2023-12-15,1,1
2023-12-20,1,-1
2023-12-28,1,1
2024-01-09,1,-1
2024-01-11,1,1
2024-01-16,2,0
2024-01-19,1,-1
2024-01-23,2,2
2024-01-24,2,2
2024-01-25,1,1
2024-01-26,3,3
2024-01-29,5,-3
2024-01-31,2,2
2024-02-01,3,1
2024-02-05,7,-3
2024-02-10,15,-9
2024-02-23,1,1
2024-02-25,2,2
2024-02-27,6,0
2024-02-28,9,-1
2024-02-29,8,2
2024-03-03,1,1
2024-03-05,2,2
2024-03-10,3,-1
2024-03-11,2,-2
2024-03-13,1,1
2024-03-19,3,-3
2024-03-20,3,-1
2024-03-21,2,2
2024-03-22,8,0
2024-03-27,1,-1
2024-03-31,1,1
2024-04-09,1,-1
2024-04-11,4,-2
2024-04-16,1,1
2024-04-18,1,1
2024-04-19,2,0
2024-04-22,1,1
2024-04-24,1,-1
2024-04-25,2,2
2024-04-26,1,1
2024-04-29,1,1
2024-04-30,1,-1
2024-05-01,6,4
2024-05-02,9,-1
2024-05-03,11,3
2024-05-04,2,2
2024-05-06,3,1
2024-05-07,3,3
2024-05-08,3,1
2024-05-13,1,1
2024-05-14,1,1
2024-05-21,1,1
2024-05-24,1,1
2024-05-29,4,-2
2024-05-31,2,2
2024-06-03,1,-1
2024-06-04,2,2
2024-06-06,2,2
2024-06-10,1,1
2024-06-11,2,0
2024-06-12,2,2
2024-06-13,1,1
2024-06-14,1,1
2024-06-17,2,0
2024-06-18,1,1
2024-06-19,1,1
2024-06-20,1,1
2024-06-26,1,1
2024-06-27,3,1
2024-06-28,1,-1
2024-07-10,1,1
2024-07-16,1,-1
2024-07-17,1,-1
2024-07-18,2,-2
2024-07-19,1,1
2024-07-20,1,-1
2024-07-22,6,-2
2024-07-23,4,4
2024-07-24,1,-1
2024-07-25,1,1
