formatted_date,articles,sentiment
2023-08-01,1,-1
2023-08-02,3,3
2023-08-03,1,1
2023-08-06,1,1
2023-08-07,2,2
2023-08-09,4,0
2023-08-10,5,-1
2023-08-11,2,0
2023-08-13,1,1
2023-08-14,1,1
2023-08-15,1,-1
2023-08-16,1,1
2023-08-17,1,-1
2023-09-01,1,1
2023-09-05,4,-2
2023-09-06,1,1
2023-09-07,1,1
2023-09-14,1,1
2023-09-15,5,5
2023-09-17,1,-1
2023-09-21,1,-1
2023-09-25,2,2
2023-09-28,1,1
2023-09-29,1,1
2023-09-30,1,1
2023-10-03,1,-1
2023-10-16,6,0
2023-10-17,1,1
2023-10-29,2,-2
2023-10-30,1,-1
2023-11-08,1,1
2023-11-09,5,-1
2023-11-10,1,1
2023-11-13,1,-1
2023-11-16,1,-1
2023-11-17,1,-1
2023-11-20,1,-1
2023-11-22,3,3
2023-11-23,4,4
2023-11-24,1,1
2023-11-26,1,1
2023-11-28,1,-1
2023-11-30,3,-1
2023-12-02,2,2
2023-12-04,1,1
2023-12-21,1,-1
2023-12-25,1,1
2023-12-26,2,2
2023-12-28,3,3
2024-01-03,1,1
2024-01-07,1,1
2024-01-08,1,-1
2024-01-15,1,1
2024-01-16,2,-2
2024-01-18,1,1
2024-01-24,2,2
2024-01-29,2,2
2024-01-30,1,-1
2024-02-01,3,-1
2024-02-05,2,-2
2024-02-06,1,-1
2024-02-07,5,1
2024-02-08,2,0
2024-02-09,1,-1
2024-02-10,1,1
2024-02-12,2,-2
2024-02-14,10,-8
2024-02-20,3,1
2024-02-21,1,1
2024-02-27,1,-1
2024-03-01,1,1
2024-03-03,1,-1
2024-03-10,1,-1
2024-03-11,1,-1
2024-03-13,1,-1
2024-03-14,2,0
2024-03-15,2,0
2024-03-20,1,1
2024-03-21,1,-1
2024-03-22,1,-1
2024-03-25,2,0
2024-03-26,2,2
2024-03-27,1,1
2024-04-02,1,1
2024-04-03,1,-1
2024-04-08,2,0
2024-04-11,1,-1
2024-04-14,1,1
2024-04-15,1,-1
2024-04-18,1,-1
2024-04-22,3,1
2024-04-23,6,2
2024-04-24,2,0
2024-04-25,1,-1
2024-04-26,8,0
2024-04-29,2,2
2024-04-30,2,2
2024-05-01,1,1
2024-05-03,1,1
2024-05-07,1,-1
2024-05-09,2,0
2024-05-10,1,1
2024-05-14,1,1
2024-05-17,1,1
2024-05-20,2,2
2024-05-21,1,1
2024-05-22,3,1
2024-05-23,6,0
2024-05-25,1,-1
2024-05-27,2,-2
2024-05-28,3,-1
2024-06-02,1,-1
2024-06-03,2,0
2024-06-05,1,-1
2024-06-08,1,1
2024-06-10,1,1
2024-06-11,1,1
2024-06-12,1,1
2024-06-14,1,1
2024-06-19,1,1
2024-06-25,1,1
2024-07-04,1,1
2024-07-05,3,1
2024-07-08,3,-1
2024-07-09,1,1
2024-07-15,1,1
2024-07-16,1,1
2024-07-17,1,-1
2024-07-19,1,-1
2024-07-20,1,1
2024-07-23,1,-1
2024-07-25,4,2
