formatted_date,articles,sentiment
2023-08-06,1,-1
2023-08-07,1,-1
2023-08-10,1,1
2023-08-14,1,-1
2023-08-24,2,0
2023-08-28,1,1
2023-09-01,2,-2
2023-09-03,3,1
2023-09-05,2,-2
2023-09-06,6,-2
2023-09-07,17,-1
2023-09-08,23,-7
2023-09-11,2,2
2023-09-13,2,0
2023-09-15,1,-1
2023-09-18,2,-2
2023-09-20,3,3
2023-09-26,2,0
2023-09-28,2,0
2023-09-29,1,1
2023-10-02,1,1
2023-10-04,2,0
2023-10-06,3,1
2023-10-07,1,1
2023-10-09,1,1
2023-10-12,1,1
2023-10-21,1,1
2023-10-23,1,-1
2023-10-27,1,1
2023-11-01,1,-1
2023-11-05,1,-1
2023-11-06,2,-2
2023-11-16,1,1
2023-11-21,1,-1
2023-11-28,1,1
2023-11-29,1,-1
2023-11-30,2,0
2023-12-01,2,0
2023-12-04,1,-1
2023-12-05,6,-6
2023-12-06,12,-6
2023-12-07,9,-5
2023-12-08,6,-4
2023-12-11,4,-2
2023-12-15,1,-1
2023-12-16,1,-1
2023-12-17,1,-1
2023-12-18,1,-1
2023-12-21,1,1
2024-01-01,1,1
2024-01-09,1,1
2024-01-22,2,-2
2024-01-25,1,-1
2024-01-30,1,1
2024-02-01,1,-1
2024-02-03,1,1
2024-02-04,2,0
2024-02-07,1,1
2024-02-08,25,-19
2024-02-09,1,-1
2024-02-14,1,1
2024-02-18,1,-1
2024-02-22,2,0
2024-02-29,1,1
2024-03-03,1,-1
2024-03-04,2,0
2024-03-05,2,-2
2024-03-06,4,-4
2024-03-07,14,0
2024-03-08,22,6
2024-03-09,4,-2
2024-03-10,2,2
2024-03-13,2,0
2024-03-18,1,1
2024-03-19,2,0
2024-03-20,1,1
2024-03-26,2,2
2024-03-27,1,-1
2024-03-29,1,1
2024-04-01,1,-1
2024-04-02,2,0
2024-04-03,1,-1
2024-04-04,1,-1
2024-04-08,1,1
2024-04-09,1,1
2024-04-10,1,1
2024-04-11,1,1
2024-04-15,2,-2
2024-04-16,1,-1
2024-04-17,1,1
2024-04-19,1,1
2024-04-22,2,2
2024-04-30,1,1
2024-05-02,1,1
2024-05-03,1,1
2024-05-07,1,-1
2024-05-08,1,-1
2024-05-09,1,-1
2024-05-12,1,-1
2024-05-25,1,1
2024-05-26,1,-1
2024-05-27,1,-1
2024-06-03,1,-1
2024-06-04,2,2
2024-06-06,1,-1
2024-06-13,1,1
2024-06-14,1,1
2024-06-16,2,-2
2024-06-17,2,2
2024-06-18,2,-2
2024-06-19,9,-3
2024-06-20,16,4
2024-06-21,15,-1
2024-06-24,1,1
2024-06-25,3,-1
2024-06-26,1,1
2024-06-27,4,2
2024-06-28,2,0
2024-06-30,1,-1
2024-07-01,2,-2
2024-07-02,1,1
2024-07-03,1,1
2024-07-04,2,2
2024-07-05,1,1
2024-07-06,1,-1
2024-07-08,1,-1
2024-07-09,1,1
2024-07-10,1,1
2024-07-15,5,3
2024-07-19,1,1
2024-07-20,1,-1
