formatted_date,articles,sentiment
2023-08-02,5,3
2023-08-03,4,2
2023-08-04,4,-2
2023-08-05,1,-1
2023-08-07,2,2
2023-08-08,1,1
2023-08-11,1,1
2023-08-18,1,-1
2023-08-20,2,-2
2023-08-22,2,0
2023-08-28,1,1
2023-08-31,4,4
2023-09-01,1,-1
2023-09-05,2,0
2023-09-07,1,-1
2023-09-09,1,-1
2023-09-11,1,-1
2023-09-13,1,1
2023-09-14,1,-1
2023-09-18,1,-1
2023-09-19,1,-1
2023-09-25,1,-1
2023-09-27,1,-1
2023-10-02,1,1
2023-10-09,1,1
2023-10-24,1,-1
2023-10-26,4,0
2023-10-27,3,-1
2023-10-29,1,-1
2023-10-30,1,1
2023-10-31,3,-1
2023-11-01,3,1
2023-11-02,6,-2
2023-11-03,4,2
2023-11-04,1,-1
2023-11-05,1,1
2023-11-06,4,0
2023-11-15,1,-1
2023-11-16,1,1
2023-11-18,1,-1
2023-11-20,1,1
2023-12-04,2,-2
2023-12-11,2,2
2023-12-13,2,2
2024-01-03,2,-2
2024-01-05,1,1
2024-01-09,1,1
2024-01-11,1,-1
2024-01-26,3,-1
2024-01-30,1,1
2024-01-31,5,-1
2024-02-01,2,-2
2024-02-02,5,-1
2024-02-03,2,2
2024-02-04,2,2
2024-02-05,1,1
2024-02-07,1,1
2024-02-08,1,-1
2024-02-09,1,1
2024-02-10,21,-19
2024-02-12,1,-1
2024-02-14,1,1
2024-02-18,1,1
2024-02-20,2,2
2024-02-22,1,-1
2024-02-29,1,-1
2024-03-01,1,1
2024-03-05,1,1
2024-03-13,2,0
2024-03-15,1,1
2024-03-18,1,1
2024-03-19,1,-1
2024-04-03,1,1
2024-04-17,1,-1
2024-04-18,1,1
2024-04-25,2,-2
2024-04-26,1,1
2024-04-29,1,-1
2024-05-02,5,-5
2024-05-03,4,-2
2024-05-04,4,0
2024-05-05,1,-1
2024-05-06,3,3
2024-05-07,4,2
2024-05-08,1,-1
2024-05-18,1,-1
2024-05-21,2,-2
2024-05-25,1,1
2024-05-27,1,1
2024-05-28,1,1
2024-06-03,1,-1
2024-06-06,1,-1
2024-06-13,1,-1
2024-06-15,1,1
2024-06-21,1,1
2024-06-25,1,1
2024-07-06,1,-1
2024-07-11,2,-2
2024-07-15,1,-1
2024-07-17,1,1
2024-07-18,1,-1
2024-07-19,1,-1
