formatted_date,articles,sentiment
2023-08-03,1,-1
2023-08-07,2,2
2023-08-08,1,1
2023-08-10,2,0
2023-08-11,1,1
2023-08-14,6,0
2023-08-15,7,3
2023-08-16,2,-2
2023-08-17,1,1
2023-08-22,1,-1
2023-08-24,2,0
2023-08-30,1,1
2023-08-31,1,1
2023-09-03,1,-1
2023-09-06,3,3
2023-09-15,1,-1
2023-09-18,2,2
2023-09-21,1,1
2023-09-25,1,1
2023-09-26,1,-1
2023-10-02,4,2
2023-10-04,5,5
2023-10-09,1,1
2023-10-10,1,1
2023-10-11,1,-1
2023-10-23,2,2
2023-10-24,2,2
2023-10-26,2,0
2023-10-27,8,-4
2023-10-31,1,1
2023-11-01,2,2
2023-11-05,1,1
2023-11-09,1,1
2023-11-13,1,1
2023-11-14,2,0
2023-11-15,3,1
2023-11-16,3,-3
2023-11-17,1,-1
2023-11-20,3,-3
2023-11-27,2,2
2023-11-29,1,1
2023-11-30,3,3
2023-12-01,1,-1
2023-12-04,1,1
2023-12-05,1,1
2023-12-07,5,3
2023-12-12,2,2
2023-12-16,1,1
2023-12-20,2,2
2024-01-19,2,0
2024-01-22,3,3
2024-01-29,2,0
2024-02-01,2,2
2024-02-02,1,1
2024-02-06,2,2
2024-02-08,3,-3
2024-02-11,1,1
2024-02-22,1,1
2024-03-05,1,1
2024-03-11,1,-1
2024-03-18,1,1
2024-03-21,2,2
2024-04-04,2,2
2024-04-05,1,1
2024-04-06,1,1
2024-04-08,3,-1
2024-04-09,1,-1
2024-04-10,1,-1
2024-04-15,2,-2
2024-04-16,2,2
2024-05-08,3,-3
2024-05-09,1,1
2024-05-10,1,1
2024-05-13,3,-3
2024-05-14,3,3
2024-05-15,1,-1
2024-05-16,4,-2
2024-05-17,1,-1
2024-05-20,1,1
2024-05-21,2,2
2024-05-22,4,-2
2024-05-23,2,2
2024-05-28,4,2
2024-05-29,4,-2
2024-05-30,4,2
2024-06-05,6,2
2024-06-27,2,0
2024-06-28,1,1
2024-07-02,1,1
2024-07-08,1,1
2024-07-10,1,-1
2024-07-15,1,1
2024-07-18,5,5
2024-07-21,1,-1
2024-07-22,2,2
2024-07-23,1,1
2024-07-24,1,1
2024-07-25,1,1
