formatted_date,articles,sentiment
2023-08-02,2,0
2023-08-05,1,1
2023-08-07,1,-1
2023-08-09,2,0
2023-08-14,1,-1
2023-08-16,1,1
2023-08-17,2,2
2023-08-18,4,4
2023-08-21,1,1
2023-08-22,2,-2
2023-08-24,1,1
2023-08-25,1,1
2023-08-27,1,1
2023-08-30,3,3
2023-09-07,5,1
2023-09-08,1,1
2023-09-09,2,2
2023-09-10,2,0
2023-09-11,8,6
2023-09-12,2,0
2023-09-14,1,1
2023-09-18,4,2
2023-09-20,2,-2
2023-09-21,1,1
2023-09-22,1,1
2023-09-27,1,-1
2023-10-02,1,1
2023-10-03,1,1
2023-10-05,1,-1
2023-10-06,1,-1
2023-10-07,1,1
2023-10-08,2,0
2023-10-09,6,0
2023-10-10,2,0
2023-10-15,1,-1
2023-10-16,1,1
2023-10-17,2,0
2023-10-18,2,-2
2023-10-20,4,2
2023-10-21,1,-1
2023-10-24,1,-1
2023-10-26,2,2
2023-10-30,1,-1
2023-10-31,6,0
2023-11-01,13,-3
2023-11-02,16,-12
2023-11-03,2,0
2023-11-05,1,-1
2023-11-06,1,-1
2023-11-09,1,-1
2023-11-11,1,-1
2023-11-13,3,-1
2023-11-14,2,-2
2023-11-20,1,1
2023-11-22,1,-1
2023-11-25,1,-1
2023-11-26,3,3
2023-11-27,1,1
2023-11-28,3,-1
2023-11-29,1,1
2023-12-04,1,-1
2023-12-07,1,1
2023-12-13,1,1
2023-12-15,2,0
2023-12-18,4,0
2023-12-19,1,-1
2023-12-20,1,1
2023-12-21,1,1
2023-12-22,2,-2
2023-12-26,1,-1
2023-12-27,1,1
2023-12-28,1,1
2023-12-30,3,-1
2024-01-02,1,1
2024-01-04,1,1
2024-01-06,1,-1
2024-01-08,3,3
2024-01-09,6,4
2024-01-10,2,0
2024-01-11,1,1
2024-01-21,1,1
2024-01-22,3,-1
2024-01-23,1,1
2024-01-24,2,0
2024-01-26,3,3
2024-01-28,1,1
2024-01-29,1,1
2024-01-30,1,1
2024-01-31,2,0
2024-02-01,1,1
2024-02-04,2,2
2024-02-05,10,2
2024-02-06,11,5
2024-02-07,20,10
2024-02-08,37,-31
2024-02-09,2,0
2024-02-10,1,-1
2024-02-12,2,0
2024-02-20,1,-1
2024-02-21,2,0
2024-02-22,2,2
2024-02-23,2,-2
2024-02-25,4,-2
2024-02-26,2,0
2024-02-28,2,0
2024-02-29,2,2
2024-03-01,1,-1
2024-03-11,1,-1
2024-03-12,1,-1
2024-03-13,2,2
2024-03-14,1,-1
2024-03-19,3,3
2024-03-20,1,1
2024-03-23,3,-3
2024-03-25,2,0
2024-03-26,2,-2
2024-04-01,2,0
2024-04-07,1,1
2024-04-08,3,1
2024-04-10,1,1
2024-04-11,1,-1
2024-04-13,1,1
2024-04-15,1,1
2024-04-16,2,2
2024-04-17,1,1
2024-04-20,1,-1
2024-04-23,1,-1
2024-04-24,2,0
2024-04-25,1,1
2024-04-26,1,1
2024-04-29,2,0
2024-04-30,6,0
2024-05-01,10,0
2024-05-02,8,-2
2024-05-03,2,2
2024-05-06,1,-1
2024-05-07,1,-1
2024-05-09,1,-1
2024-05-14,1,1
2024-05-21,1,-1
2024-05-23,1,-1
2024-05-24,1,-1
2024-05-28,1,1
2024-06-03,2,0
2024-06-04,1,-1
2024-06-05,2,0
2024-06-06,3,3
2024-06-07,1,1
2024-06-08,1,1
2024-06-12,2,0
2024-06-13,1,1
2024-06-14,2,0
2024-06-17,1,-1
2024-06-20,1,1
2024-06-24,1,-1
2024-06-26,1,-1
2024-07-01,1,-1
2024-07-04,1,1
2024-07-12,2,0
2024-07-16,1,-1
2024-07-17,4,4
2024-07-18,1,1
2024-07-21,1,-1
2024-07-22,3,1
2024-07-25,1,1
