formatted_date,articles,sentiment
2023-08-02,1,-1
2023-08-07,2,2
2023-08-08,5,-3
2023-08-09,2,0
2023-08-10,3,-1
2023-08-12,1,-1
2023-08-21,2,2
2023-08-22,1,1
2023-08-28,3,-1
2023-09-06,1,-1
2023-09-08,1,-1
2023-09-10,1,1
2023-09-11,1,1
2023-09-12,1,1
2023-09-13,1,1
2023-09-14,1,1
2023-09-20,2,2
2023-09-26,1,-1
2023-09-28,1,1
2023-09-29,1,1
2023-09-30,1,1
2023-10-03,1,1
2023-10-05,1,-1
2023-10-13,1,-1
2023-10-16,2,0
2023-10-27,1,-1
2023-10-30,1,1
2023-11-01,1,1
2023-11-06,1,-1
2023-11-08,3,-1
2023-11-09,5,3
2023-11-10,13,-1
2023-11-11,1,-1
2023-11-12,1,-1
2023-11-16,1,-1
2023-11-26,1,1
2023-11-30,1,-1
2023-12-07,1,-1
2023-12-19,1,1
2023-12-22,2,2
2023-12-30,1,1
2024-01-02,1,1
2024-01-06,1,1
2024-01-08,3,3
2024-01-29,1,-1
2024-01-30,1,1
2024-02-01,2,2
2024-02-02,2,2
2024-02-07,1,1
2024-02-09,18,-8
2024-02-15,1,-1
2024-02-20,1,-1
2024-02-21,1,-1
2024-02-22,1,1
2024-02-26,7,-1
2024-02-27,4,2
2024-02-28,3,1
2024-02-29,2,0
2024-03-01,1,1
2024-03-25,2,2
2024-04-09,1,-1
2024-04-15,1,1
2024-04-16,2,0
2024-04-17,1,1
2024-04-24,2,-2
2024-05-06,4,2
2024-05-07,9,3
2024-05-08,21,-9
2024-05-10,1,-1
2024-05-11,1,-1
2024-05-13,3,1
2024-05-14,4,4
2024-05-15,3,1
2024-05-16,3,-3
2024-05-17,1,-1
2024-05-21,1,1
2024-05-22,1,-1
2024-05-28,1,1
2024-05-29,2,2
2024-05-31,1,1
2024-06-07,1,-1
2024-06-14,1,-1
2024-06-23,1,-1
2024-07-15,2,0
2024-07-17,1,1
2024-07-18,1,-1
2024-07-25,1,-1
