formatted_date,articles,sentiment
2023-08-02,4,-2
2023-08-03,1,-1
2023-08-04,2,0
2023-08-05,1,-1
2023-08-07,2,0
2023-08-10,1,1
2023-08-14,1,-1
2023-08-16,1,-1
2023-08-23,3,1
2023-09-01,1,1
2023-09-09,1,1
2023-09-11,1,1
2023-09-12,2,-2
2023-09-15,1,-1
2023-09-19,2,0
2023-09-24,1,-1
2023-09-26,1,1
2023-10-06,2,2
2023-10-10,2,2
2023-10-17,1,-1
2023-10-19,1,1
2023-10-20,1,1
2023-10-25,1,-1
2023-10-30,1,1
2023-10-31,3,1
2023-11-01,3,1
2023-11-02,2,-2
2023-11-03,2,0
2023-11-08,1,1
2023-11-13,1,1
2023-11-14,1,1
2023-11-15,1,-1
2023-11-16,1,1
2023-11-20,1,1
2023-11-21,1,1
2023-11-23,1,1
2023-12-08,1,1
2023-12-17,1,-1
2023-12-21,1,-1
2024-01-02,1,-1
2024-01-09,1,-1
2024-01-11,1,-1
2024-01-15,1,-1
2024-01-24,1,-1
2024-02-01,1,1
2024-02-11,27,-23
2024-02-14,3,1
2024-02-16,1,-1
2024-02-18,1,-1
2024-02-19,1,1
2024-02-20,1,1
2024-02-26,1,1
2024-02-27,2,2
2024-02-28,4,2
2024-02-29,11,3
2024-03-01,1,-1
2024-03-05,1,1
2024-03-19,1,-1
2024-03-20,2,2
2024-04-10,1,1
2024-04-12,1,-1
2024-04-19,1,1
2024-04-24,1,1
2024-04-25,1,-1
2024-04-30,4,-2
2024-05-01,4,-2
2024-05-02,4,0
2024-05-03,3,-3
2024-05-06,1,-1
2024-05-07,1,1
2024-05-09,1,-1
2024-05-12,1,1
2024-05-22,1,-1
2024-05-25,1,1
2024-05-28,2,2
2024-05-29,1,1
2024-05-30,1,1
2024-06-04,1,1
2024-06-10,1,1
2024-06-11,1,-1
2024-06-14,1,1
2024-06-23,1,1
2024-06-28,1,-1
2024-06-29,1,1
2024-07-10,1,-1
2024-07-12,1,-1
2024-07-15,1,1
2024-07-19,1,1
