formatted_date,articles,sentiment
2023-08-02,1,1
2023-08-22,1,1
2023-08-24,1,1
2023-08-25,12,0
2023-08-27,2,-2
2023-08-28,1,-1
2023-08-30,2,2
2023-09-01,1,-1
2023-09-05,1,1
2023-09-11,1,1
2023-09-19,1,-1
2023-09-20,1,-1
2023-09-21,1,-1
2023-09-22,1,1
2023-09-26,1,-1
2023-09-27,2,2
2023-10-04,1,1
2023-10-05,2,-2
2023-10-10,1,1
2023-10-11,1,1
2023-10-17,1,1
2023-10-23,1,-1
2023-11-02,1,1
2023-11-03,9,-7
2023-11-05,1,-1
2023-11-06,2,-2
2023-11-07,1,-1
2023-11-08,1,-1
2023-11-09,1,-1
2023-11-20,1,1
2023-12-05,1,1
2023-12-10,1,-1
2023-12-17,1,1
2023-12-27,1,1
2024-01-03,1,1
2024-01-08,2,0
2024-01-09,1,1
2024-01-10,1,1
2024-01-16,1,1
2024-01-22,1,-1
2024-02-05,1,1
2024-02-06,1,1
2024-02-07,1,-1
2024-02-09,7,-5
2024-02-11,3,1
2024-02-12,1,1
2024-02-13,1,1
2024-02-15,2,2
2024-02-26,1,-1
2024-03-01,1,-1
2024-04-01,1,1
2024-04-08,1,1
2024-04-11,2,2
2024-04-20,1,1
2024-05-10,10,-4
2024-05-12,2,0
2024-05-13,3,1
2024-05-14,1,1
2024-05-17,1,1
2024-05-22,1,1
2024-06-08,1,-1
2024-06-10,1,-1
2024-06-22,1,1
2024-06-27,1,1
2024-07-12,1,1
2024-07-22,1,-1
