formatted_date,articles,sentiment
2023-08-03,1,-1
2023-08-04,4,-2
2023-08-05,1,-1
2023-08-22,1,-1
2023-08-23,2,2
2023-08-24,1,-1
2023-09-11,1,1
2023-09-21,1,-1
2023-10-18,1,1
2023-10-25,1,1
2023-11-07,2,-2
2023-11-08,1,-1
2023-11-09,3,1
2023-11-10,1,-1
2023-12-04,1,-1
2023-12-14,3,1
2023-12-18,2,0
2023-12-19,1,1
2023-12-22,1,-1
2024-01-08,1,1
2024-01-12,1,-1
2024-01-16,3,-1
2024-02-14,26,-26
2024-02-15,1,-1
2024-02-28,4,-2
2024-03-01,1,-1
2024-03-04,3,-3
2024-03-06,1,1
2024-03-12,1,1
2024-03-13,1,1
2024-03-14,4,0
2024-03-15,2,0
2024-03-17,1,-1
2024-03-18,1,-1
2024-03-20,1,-1
2024-03-22,1,-1
2024-04-12,1,-1
2024-04-16,2,0
2024-04-30,1,1
2024-05-01,2,0
2024-05-02,5,-3
2024-05-07,1,-1
2024-05-08,1,-1
2024-06-11,3,1
2024-06-12,1,1
2024-06-18,2,0
2024-06-21,4,2
2024-06-24,2,0
