formatted_date,articles,sentiment
2023-08-13,1,-1
2023-08-16,1,-1
2023-08-22,3,1
2023-08-29,1,-1
2023-09-07,1,-1
2023-09-08,1,-1
2023-09-11,1,-1
2023-09-19,2,2
2023-09-21,1,-1
2023-09-26,1,-1
2023-09-28,1,-1
2023-09-29,1,-1
2023-10-16,1,-1
2023-10-18,1,-1
2023-10-26,2,0
2023-11-06,1,1
2023-12-15,1,1
2024-02-11,1,-1
2024-02-20,9,-7
2024-03-18,2,-2
2024-03-27,2,0
2024-04-22,1,1
2024-04-25,1,-1
2024-05-15,1,-1
2024-05-16,1,-1
2024-05-21,1,-1
2024-05-22,1,-1
2024-05-28,2,0
2024-05-30,1,1
2024-06-07,1,1
2024-06-17,1,-1
2024-06-18,1,-1
2024-06-19,1,-1
2024-06-24,1,-1
2024-07-22,1,-1
