formatted_date,articles,sentiment
2023-08-10,1,1
2023-08-11,1,1
2023-09-01,1,-1
2023-09-17,1,-1
2023-10-05,1,1
2023-10-18,5,3
2023-10-19,1,-1
2023-10-20,2,0
2023-10-23,2,-2
2023-10-30,1,1
2023-11-09,1,1
2023-11-18,1,-1
2023-11-23,1,-1
2024-01-08,1,1
2024-01-16,2,0
2024-01-31,2,0
2024-02-06,1,-1
2024-02-08,1,1
2024-02-09,1,1
2024-02-14,1,1
2024-02-21,5,1
2024-02-23,2,-2
2024-02-26,1,-1
2024-03-16,1,1
2024-04-17,9,-3
2024-04-19,1,1
2024-04-20,1,1
2024-05-05,1,-1
2024-05-10,3,1
2024-05-13,1,1
2024-05-31,1,1
2024-06-08,1,1
2024-06-13,2,2
2024-07-16,1,-1
2024-07-17,7,-1
2024-07-23,1,1
