Date,fdate,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-06-01 00:00:00-04:00,2023-06-01,6.25,6.260000228881836,6.190000057220459,6.260000228881836,3500,0.0,0.0
2023-06-02 00:00:00-04:00,2023-06-02,6.289999961853027,6.289999961853027,6.159999847412109,6.239999771118164,19200,0.0,0.0
2023-06-05 00:00:00-04:00,2023-06-05,6.260000228881836,6.260000228881836,6.010000228881836,6.260000228881836,39600,0.0,0.0
2023-06-06 00:00:00-04:00,2023-06-06,6.28000020980835,6.369999885559082,6.260000228881836,6.289999961853027,14100,0.0,0.0
2023-06-07 00:00:00-04:00,2023-06-07,6.320000171661377,6.320000171661377,6.159999847412109,6.199999809265137,49800,0.0,0.0
2023-06-08 00:00:00-04:00,2023-06-08,6.199999809265137,6.199999809265137,6.199999809265137,6.199999809265137,300,0.0,0.0
2023-06-09 00:00:00-04:00,2023-06-09,6.210000038146973,6.210000038146973,6.170000076293945,6.210000038146973,2000,0.0,0.0
2023-06-12 00:00:00-04:00,2023-06-12,6.210000038146973,6.210000038146973,6.199999809265137,6.210000038146973,12200,0.0,0.0
2023-06-13 00:00:00-04:00,2023-06-13,6.239999771118164,6.28000020980835,6.239999771118164,6.260000228881836,12100,0.0,0.0
2023-06-14 00:00:00-04:00,2023-06-14,6.28000020980835,6.28000020980835,6.260000228881836,6.260000228881836,1100,0.0,0.0
2023-06-15 00:00:00-04:00,2023-06-15,6.300000190734863,6.449999809265137,6.289999961853027,6.289999961853027,24100,0.0,0.0
2023-06-16 00:00:00-04:00,2023-06-16,6.25,6.25,6.099999904632568,6.110000133514404,55000,0.0,0.0
2023-06-20 00:00:00-04:00,2023-06-20,6.150000095367432,6.150000095367432,6.070000171661377,6.110000133514404,23300,0.0,0.0
2023-06-21 00:00:00-04:00,2023-06-21,6.110000133514404,6.119999885559082,6.050000190734863,6.110000133514404,6900,0.0,0.0
2023-06-22 00:00:00-04:00,2023-06-22,6.090000152587891,6.110000133514404,6.079999923706055,6.099999904632568,1800,0.0,0.0
2023-06-23 00:00:00-04:00,2023-06-23,6.130000114440918,6.150000095367432,6.110000133514404,6.110000133514404,13500,0.0,0.0
2023-06-26 00:00:00-04:00,2023-06-26,6.170000076293945,6.170000076293945,6.130000114440918,6.159999847412109,1000,0.0,0.0
2023-06-27 00:00:00-04:00,2023-06-27,6.21999979019165,6.21999979019165,6.170000076293945,6.179999828338623,2000,0.0,0.0
2023-06-28 00:00:00-04:00,2023-06-28,6.21999979019165,6.449999809265137,6.179999828338623,6.320000171661377,54600,0.0,0.0
2023-06-29 00:00:00-04:00,2023-06-29,6.300000190734863,6.300000190734863,6.260000228881836,6.260000228881836,1500,0.0,0.0
2023-06-30 00:00:00-04:00,2023-06-30,6.179999828338623,6.329999923706055,6.179999828338623,6.289999961853027,4500,0.0,0.0
2023-07-03 00:00:00-04:00,2023-07-03,6.329999923706055,6.349999904632568,6.269999980926514,6.300000190734863,6400,0.0,0.0
2023-07-05 00:00:00-04:00,2023-07-05,6.309999942779541,6.369999885559082,6.309999942779541,6.340000152587891,17200,0.0,0.0
2023-07-06 00:00:00-04:00,2023-07-06,6.309999942779541,6.309999942779541,6.239999771118164,6.239999771118164,7800,0.0,0.0
2023-07-07 00:00:00-04:00,2023-07-07,6.260000228881836,6.269999980926514,6.239999771118164,6.239999771118164,800,0.0,0.0
2023-07-10 00:00:00-04:00,2023-07-10,6.28000020980835,6.28000020980835,6.260000228881836,6.28000020980835,6500,0.0,0.0
2023-07-11 00:00:00-04:00,2023-07-11,6.320000171661377,6.320000171661377,6.289999961853027,6.300000190734863,3100,0.0,0.0
2023-07-12 00:00:00-04:00,2023-07-12,6.320000171661377,6.320000171661377,6.239999771118164,6.269999980926514,7300,0.0,0.0
2023-07-13 00:00:00-04:00,2023-07-13,6.239999771118164,6.25,6.199999809265137,6.21999979019165,8500,0.0,0.0
2023-07-14 00:00:00-04:00,2023-07-14,6.21999979019165,6.25,6.199999809265137,6.239999771118164,8500,0.0,0.0
2023-07-17 00:00:00-04:00,2023-07-17,6.230000019073486,6.230000019073486,6.210000038146973,6.210000038146973,4300,0.0,0.0
2023-07-18 00:00:00-04:00,2023-07-18,6.21999979019165,6.260000228881836,6.21999979019165,6.239999771118164,15600,0.0,0.0
2023-07-19 00:00:00-04:00,2023-07-19,6.260000228881836,6.28000020980835,6.230000019073486,6.28000020980835,1400,0.0,0.0
2023-07-20 00:00:00-04:00,2023-07-20,6.28000020980835,6.28000020980835,6.21999979019165,6.25,6400,0.0,0.0
2023-07-21 00:00:00-04:00,2023-07-21,6.260000228881836,6.269999980926514,6.25,6.25,3600,0.0,0.0
2023-07-24 00:00:00-04:00,2023-07-24,6.289999961853027,6.289999961853027,6.179999828338623,6.179999828338623,3000,0.0,0.0
2023-07-25 00:00:00-04:00,2023-07-25,6.159999847412109,6.199999809265137,6.159999847412109,6.190000057220459,3100,0.0,0.0
2023-07-26 00:00:00-04:00,2023-07-26,6.239999771118164,6.239999771118164,6.179999828338623,6.199999809265137,7600,0.0,0.0
2023-07-27 00:00:00-04:00,2023-07-27,6.190000057220459,6.260000228881836,6.179999828338623,6.179999828338623,38700,0.0,0.0
2023-07-28 00:00:00-04:00,2023-07-28,6.190000057220459,6.230000019073486,6.190000057220459,6.199999809265137,6900,0.0,0.0
2023-07-31 00:00:00-04:00,2023-07-31,6.150000095367432,6.389999866485596,6.150000095367432,6.230000019073486,58800,0.0,0.0
2023-08-01 00:00:00-04:00,2023-08-01,6.21999979019165,6.239999771118164,6.210000038146973,6.239999771118164,4900,0.0,0.0
2023-08-02 00:00:00-04:00,2023-08-02,6.119999885559082,6.210000038146973,6.119999885559082,6.179999828338623,3700,0.0,0.0
2023-08-03 00:00:00-04:00,2023-08-03,6.239999771118164,6.239999771118164,6.150000095367432,6.150000095367432,4400,0.0,0.0
2023-08-04 00:00:00-04:00,2023-08-04,6.150000095367432,6.199999809265137,6.099999904632568,6.119999885559082,19200,0.0,0.0
2023-08-07 00:00:00-04:00,2023-08-07,6.070000171661377,6.150000095367432,6.070000171661377,6.130000114440918,10300,0.0,0.0
2023-08-08 00:00:00-04:00,2023-08-08,6.090000152587891,6.139999866485596,6.090000152587891,6.099999904632568,700,0.0,0.0
2023-08-09 00:00:00-04:00,2023-08-09,6.170000076293945,6.199999809265137,6.139999866485596,6.199999809265137,7000,0.0,0.0
2023-08-10 00:00:00-04:00,2023-08-10,6.21999979019165,6.239999771118164,6.150000095367432,6.190000057220459,10300,0.0,0.0
2023-08-11 00:00:00-04:00,2023-08-11,6.389999866485596,6.389999866485596,6.110000133514404,6.210000038146973,11300,0.0,0.0
2023-08-14 00:00:00-04:00,2023-08-14,6.159999847412109,6.239999771118164,6.119999885559082,6.139999866485596,12000,0.0,0.0
2023-08-15 00:00:00-04:00,2023-08-15,6.199999809265137,6.199999809265137,6.050000190734863,6.139999866485596,14600,0.0,0.0
2023-08-16 00:00:00-04:00,2023-08-16,6.150000095367432,6.159999847412109,6.010000228881836,6.050000190734863,5800,0.0,0.0
2023-08-17 00:00:00-04:00,2023-08-17,6.050000190734863,6.099999904632568,6.010000228881836,6.050000190734863,2900,0.0,0.0
2023-08-18 00:00:00-04:00,2023-08-18,6.070000171661377,6.070000171661377,6.050000190734863,6.070000171661377,5300,0.0,0.0
2023-08-21 00:00:00-04:00,2023-08-21,6.019999980926514,6.019999980926514,5.920000076293945,5.989999771118164,26800,0.0,0.0
2023-08-22 00:00:00-04:00,2023-08-22,6.050000190734863,6.050000190734863,6.0,6.0,1900,0.0,0.0
2023-08-23 00:00:00-04:00,2023-08-23,6.0,6.019999980926514,6.0,6.010000228881836,10600,0.0,0.0
2023-08-24 00:00:00-04:00,2023-08-24,6.079999923706055,6.079999923706055,5.980000019073486,5.989999771118164,11500,0.0,0.0
2023-08-25 00:00:00-04:00,2023-08-25,6.039999961853027,6.039999961853027,5.889999866485596,5.900000095367432,14300,0.0,0.0
2023-08-28 00:00:00-04:00,2023-08-28,5.880000114440918,5.929999828338623,5.880000114440918,5.929999828338623,21700,0.0,0.0
2023-08-29 00:00:00-04:00,2023-08-29,5.96999979019165,5.980000019073486,5.880000114440918,5.980000019073486,12500,0.0,0.0
