formatted_date,articles,sentiment
2023-08-07,1,-1
2023-08-08,2,-2
2023-08-09,3,1
2023-08-21,1,1
2023-10-22,1,1
2023-10-23,1,-1
2023-10-24,1,1
2023-10-26,2,2
2023-11-07,1,1
2023-11-08,1,-1
2023-11-09,3,-3
2023-11-10,2,-2
2023-11-14,1,-1
2023-11-22,1,-1
2023-11-23,1,1
2023-11-27,1,1
2023-11-28,1,1
2023-12-01,2,2
2023-12-05,1,1
2023-12-19,1,1
2024-01-07,8,2
2024-01-08,1,1
2024-01-09,5,3
2024-01-15,1,1
2024-01-16,2,2
2024-01-17,1,1
2024-01-21,2,0
2024-01-22,2,2
2024-01-23,1,1
2024-01-24,2,2
2024-02-06,19,-17
2024-02-09,1,1
2024-02-14,1,1
2024-02-15,2,-2
2024-02-20,1,1
2024-02-21,2,2
2024-02-22,1,1
2024-02-27,3,-1
2024-02-28,2,2
2024-02-29,5,-3
2024-03-01,3,1
2024-03-04,1,1
2024-03-05,1,1
2024-03-10,1,-1
2024-03-11,9,1
2024-03-12,5,3
2024-03-13,1,1
2024-03-14,1,1
2024-03-15,1,-1
2024-03-19,3,1
2024-03-20,1,1
2024-04-08,1,-1
2024-04-11,1,-1
2024-04-16,1,1
2024-04-17,1,1
2024-04-19,1,-1
2024-04-22,1,1
2024-04-23,2,-2
2024-04-24,2,2
2024-04-25,2,2
2024-04-29,2,2
2024-04-30,1,1
2024-05-02,2,-2
2024-05-06,5,1
2024-05-07,5,-1
2024-05-08,2,0
2024-05-14,1,-1
2024-05-16,1,-1
2024-06-01,1,-1
2024-06-03,2,2
2024-06-20,3,1
2024-06-21,2,0
2024-07-17,2,0
2024-07-25,1,1
