formatted_date,articles,sentiment
2023-08-09,8,-2
2023-08-10,1,1
2023-08-13,1,-1
2023-09-06,1,1
2023-10-10,2,0
2023-10-25,2,0
2023-11-06,1,1
2023-11-09,5,-1
2023-11-10,4,-2
2023-11-11,1,-1
2023-11-12,1,-1
2023-11-14,1,-1
2023-11-16,1,-1
2023-11-17,2,0
2023-11-30,1,1
2024-01-04,1,-1
2024-01-07,1,-1
2024-01-13,1,-1
2024-01-21,1,1
2024-01-28,1,1
2024-01-29,1,1
2024-01-31,1,-1
2024-02-01,2,0
2024-02-02,3,-1
2024-02-05,2,-2
2024-02-06,14,-8
2024-02-08,1,1
2024-02-25,1,1
2024-03-03,1,1
2024-03-04,1,1
2024-03-05,3,1
2024-03-06,2,0
2024-03-11,1,-1
2024-03-12,3,-1
2024-03-17,1,-1
2024-03-18,11,-1
2024-03-19,3,-1
2024-03-20,1,-1
2024-03-21,2,-2
2024-04-01,1,1
2024-04-02,2,0
2024-04-07,1,1
2024-04-11,1,-1
2024-04-14,1,-1
2024-04-24,1,-1
2024-05-09,4,0
2024-05-10,2,-2
2024-06-06,1,-1
2024-06-14,1,-1
2024-07-22,2,0
2024-07-23,5,-3
