formatted_date,articles,sentiment
2023-08-15,1,-1
2023-08-21,1,1
2023-08-28,1,1
2023-08-29,1,-1
2023-09-05,1,-1
2023-09-13,1,1
2023-09-14,2,2
2023-09-15,2,2
2023-09-17,1,1
2023-09-18,2,0
2023-09-29,1,-1
2023-10-05,1,-1
2023-10-08,1,-1
2023-10-13,1,-1
2023-10-18,1,-1
2023-10-19,4,-4
2023-10-20,2,-2
2023-10-26,1,1
2023-10-30,1,1
2023-11-04,1,1
2023-11-17,1,-1
2023-12-04,1,1
2023-12-11,2,2
2023-12-12,1,1
2023-12-22,2,2
2023-12-24,1,1
2023-12-25,1,1
2023-12-26,2,2
2023-12-29,1,-1
2024-01-02,1,-1
2024-01-03,1,-1
2024-01-07,1,-1
2024-01-08,1,1
2024-01-09,1,1
2024-01-11,1,1
2024-01-17,2,0
2024-01-18,5,-3
2024-01-19,1,-1
2024-01-22,1,1
2024-01-23,1,-1
2024-01-26,1,1
2024-01-29,2,2
2024-01-31,2,-2
2024-02-05,2,0
2024-02-10,22,-20
2024-02-12,1,-1
2024-02-22,1,1
2024-02-29,3,3
2024-03-01,1,1
2024-03-15,1,1
2024-03-22,1,1
2024-03-26,1,1
2024-04-08,2,0
2024-04-12,2,0
2024-04-15,1,-1
2024-04-16,1,-1
2024-04-17,3,-1
2024-04-18,5,-1
2024-04-19,3,-3
2024-04-23,1,1
2024-04-26,2,2
2024-05-28,1,-1
2024-06-02,1,1
2024-06-03,1,1
2024-06-06,2,0
2024-06-10,1,1
2024-06-11,1,-1
2024-06-25,1,1
2024-07-11,1,-1
2024-07-17,2,-2
2024-07-18,4,-4
2024-07-20,1,-1
2024-07-23,1,-1
