formatted_date,articles,sentiment
2023-08-01,2,0
2023-08-02,15,1
2023-08-03,5,5
2023-08-04,2,2
2023-08-09,1,1
2023-08-10,1,1
2023-08-14,2,-2
2023-08-17,1,1
2023-08-28,1,1
2023-08-30,1,-1
2023-08-31,1,1
2023-09-05,1,1
2023-09-09,1,1
2023-09-14,3,3
2023-09-15,1,1
2023-09-19,1,-1
2023-09-21,1,1
2023-10-03,1,-1
2023-10-04,1,-1
2023-10-06,7,5
2023-10-07,1,1
2023-10-10,1,1
2023-10-11,1,1
2023-10-12,1,1
2023-10-18,2,0
2023-10-25,4,0
2023-10-26,1,1
2023-10-30,1,-1
2023-11-01,20,-6
2023-11-02,4,-4
2023-11-06,2,2
2023-11-09,1,1
2023-11-12,2,0
2023-11-13,1,1
2023-11-14,1,-1
2023-11-15,1,-1
2023-11-22,1,1
2023-11-26,1,1
2023-12-07,1,1
2023-12-08,1,1
2023-12-10,1,-1
2023-12-14,2,0
2023-12-15,1,1
2023-12-18,3,-1
2023-12-19,1,-1
2023-12-21,1,-1
2023-12-26,2,0
2023-12-27,1,1
2023-12-28,1,1
2024-01-02,1,1
2024-01-03,1,-1
2024-01-16,1,-1
2024-01-18,1,1
2024-01-22,1,-1
2024-01-23,2,-2
2024-01-28,1,1
2024-01-29,1,-1
2024-01-30,3,1
2024-02-01,1,-1
2024-02-05,1,1
2024-02-06,32,-20
2024-02-26,2,0
2024-02-27,3,1
2024-02-28,16,-2
2024-02-29,4,0
2024-03-01,1,1
2024-03-02,1,-1
2024-03-04,1,-1
2024-03-05,1,-1
2024-03-06,1,-1
2024-03-22,2,2
2024-03-25,1,-1
2024-04-01,1,-1
2024-04-02,1,1
2024-04-03,1,-1
2024-04-04,1,1
2024-04-08,2,-2
2024-04-10,1,-1
2024-04-11,1,-1
2024-04-12,1,1
2024-04-15,1,1
2024-04-17,1,-1
2024-04-18,1,-1
2024-04-22,1,1
2024-04-25,1,1
2024-04-26,1,1
2024-04-30,1,-1
2024-05-01,4,0
2024-05-02,15,1
2024-05-03,4,-4
2024-05-04,2,0
2024-05-05,1,1
2024-05-06,4,0
2024-05-07,2,0
2024-05-08,2,0
2024-05-09,1,1
2024-05-10,1,1
2024-05-16,3,1
2024-05-17,1,-1
2024-05-20,1,1
2024-05-21,2,2
2024-05-22,1,-1
2024-05-23,1,1
2024-05-24,1,1
2024-05-26,1,-1
2024-05-27,2,2
2024-05-30,1,1
2024-05-31,2,-2
2024-06-04,9,-1
2024-06-05,3,-1
2024-06-12,1,-1
2024-06-17,1,1
2024-06-21,2,-2
2024-06-25,2,2
2024-07-01,1,-1
2024-07-03,1,1
2024-07-05,1,1
2024-07-08,1,-1
2024-07-09,1,1
2024-07-10,1,-1
2024-07-11,2,-2
2024-07-19,1,-1
2024-07-23,2,0
2024-07-25,1,1
