formatted_date,articles,sentiment
2023-08-02,1,1
2023-08-04,1,-1
2023-08-05,1,-1
2023-08-07,2,0
2023-08-08,9,1
2023-08-09,2,0
2023-08-11,2,-2
2023-08-13,1,-1
2023-08-17,1,1
2023-08-18,1,1
2023-08-21,1,-1
2023-08-23,1,1
2023-08-25,1,1
2023-08-28,1,-1
2023-09-06,1,1
2023-09-07,1,1
2023-09-12,1,1
2023-09-14,1,-1
2023-09-15,1,1
2023-09-17,1,-1
2023-09-18,2,-2
2023-09-19,1,1
2023-09-20,3,1
2023-09-22,1,1
2023-09-26,1,-1
2023-10-08,1,-1
2023-10-09,1,1
2023-10-10,2,0
2023-10-11,1,-1
2023-10-13,4,2
2023-10-14,1,1
2023-10-16,1,1
2023-10-17,3,1
2023-10-18,4,4
2023-10-20,2,2
2023-10-21,1,1
2023-10-27,1,1
2023-11-02,1,-1
2023-11-04,1,-1
2023-11-05,2,-2
2023-11-06,6,6
2023-11-07,2,0
2023-11-08,2,0
2023-11-09,2,0
2023-11-13,1,-1
2023-11-15,2,2
2023-11-23,1,1
2023-11-30,1,1
2023-12-02,1,1
2023-12-04,1,1
2023-12-05,2,0
2023-12-13,5,3
2023-12-15,1,1
2023-12-23,1,-1
2023-12-25,1,1
2023-12-28,1,-1
2024-01-03,1,-1
2024-01-07,1,1
2024-01-08,1,-1
2024-01-09,2,2
2024-01-10,3,1
2024-01-12,1,1
2024-01-13,1,-1
2024-01-14,1,-1
2024-01-17,1,1
2024-01-18,2,2
2024-01-25,1,1
2024-01-28,1,1
2024-02-01,1,1
2024-02-04,1,1
2024-02-05,2,2
2024-02-06,21,-21
2024-02-07,1,1
2024-02-12,1,1
2024-02-16,2,0
2024-02-20,3,-1
2024-02-21,5,1
2024-02-22,2,0
2024-02-23,3,1
2024-02-24,1,1
2024-02-26,2,0
2024-02-27,2,0
2024-02-29,2,2
2024-03-05,2,0
2024-03-07,2,0
2024-03-12,2,-2
2024-03-13,2,2
2024-03-14,1,1
2024-03-15,2,2
2024-03-18,3,3
2024-03-20,4,2
2024-03-22,2,2
2024-03-23,1,1
2024-03-25,1,-1
2024-03-26,1,-1
2024-03-29,1,1
2024-04-06,1,-1
2024-04-08,2,-2
2024-04-09,1,1
2024-04-10,2,0
2024-04-11,2,2
2024-04-14,1,1
2024-04-15,1,1
2024-04-16,3,3
2024-04-17,4,2
2024-04-21,1,1
2024-04-25,1,1
2024-04-28,1,1
2024-04-29,2,2
2024-05-02,1,-1
2024-05-03,1,1
2024-05-05,2,0
2024-05-06,7,-1
2024-05-07,1,1
2024-05-08,4,2
2024-05-09,3,3
2024-05-10,2,0
2024-05-12,2,0
2024-05-13,2,2
2024-05-14,4,4
2024-05-15,2,2
2024-05-16,1,-1
2024-05-20,2,2
2024-05-24,1,1
2024-05-28,2,0
2024-05-30,1,-1
2024-05-31,2,2
2024-06-03,2,0
2024-06-04,2,2
2024-06-05,2,2
2024-06-06,1,-1
2024-06-11,1,1
2024-06-12,1,1
2024-06-13,1,1
2024-06-14,4,2
2024-06-17,3,1
2024-06-19,2,2
2024-06-20,4,4
2024-06-26,3,1
2024-06-28,2,2
2024-07-02,1,1
2024-07-04,2,2
2024-07-05,2,2
2024-07-09,2,2
2024-07-10,4,2
2024-07-11,1,1
2024-07-12,1,1
2024-07-14,1,-1
2024-07-17,1,1
2024-07-18,1,1
2024-07-19,1,-1
2024-07-23,1,1
2024-07-24,1,1
2024-07-25,1,-1
