formatted_date,articles,sentiment
2023-08-02,1,1
2023-08-03,3,1
2023-08-04,1,-1
2023-08-07,2,0
2023-08-09,1,-1
2023-08-10,1,1
2023-08-11,4,-2
2023-08-14,1,1
2023-08-17,2,-2
2023-08-18,2,0
2023-08-20,1,1
2023-08-25,1,1
2023-08-28,3,1
2023-08-29,2,-2
2023-08-30,1,-1
2023-08-31,2,0
2023-09-06,1,1
2023-09-07,3,3
2023-09-08,1,1
2023-09-14,1,-1
2023-09-15,1,-1
2023-09-18,1,-1
2023-09-26,2,-2
2023-10-02,3,1
2023-10-04,1,1
2023-10-05,1,1
2023-10-06,4,-2
2023-10-07,1,1
2023-10-10,2,0
2023-10-16,3,3
2023-10-17,1,1
2023-10-18,3,3
2023-10-24,2,2
2023-10-26,1,-1
2023-10-31,1,1
2023-11-03,1,-1
2023-11-05,1,1
2023-11-06,3,3
2023-11-07,1,1
2023-11-09,1,1
2023-11-13,5,1
2023-11-14,3,3
2023-11-15,2,2
2023-11-17,2,2
2023-11-20,3,-1
2023-11-23,1,1
2023-11-24,1,1
2023-11-26,1,1
2023-11-27,2,2
2023-11-29,1,1
2023-12-01,4,4
2023-12-03,2,2
2023-12-04,3,3
2023-12-05,1,1
2023-12-06,2,2
2023-12-07,3,3
2023-12-08,1,-1
2023-12-10,1,-1
2023-12-11,4,0
2023-12-13,1,1
2023-12-15,2,2
2023-12-19,4,2
2023-12-20,6,4
2023-12-21,2,2
2023-12-22,4,2
2023-12-26,2,2
2023-12-27,4,2
2023-12-28,5,5
2023-12-29,1,1
2024-01-01,3,3
2024-01-02,2,2
2024-01-03,3,1
2024-01-04,4,4
2024-01-08,3,3
2024-01-09,2,2
2024-01-10,3,3
2024-01-11,7,7
2024-01-12,2,0
2024-01-19,1,-1
2024-01-22,1,1
2024-01-24,1,1
2024-01-25,2,-2
2024-01-26,2,0
2024-01-27,1,-1
2024-01-28,1,1
2024-01-31,1,1
2024-02-01,1,1
2024-02-05,3,-1
2024-02-06,14,-14
2024-02-07,1,1
2024-02-08,3,1
2024-02-09,6,2
2024-02-12,3,3
2024-02-13,3,3
2024-02-14,2,-2
2024-02-16,1,1
2024-02-17,1,1
2024-02-19,1,1
2024-02-20,2,2
2024-02-21,1,1
2024-02-22,2,2
2024-02-27,3,3
2024-02-28,2,2
2024-02-29,1,1
2024-03-01,2,2
2024-03-03,1,-1
2024-03-05,4,2
2024-03-06,3,3
2024-03-07,1,1
2024-03-08,1,1
2024-03-10,1,-1
2024-03-11,4,4
2024-03-12,1,1
2024-03-13,1,1
2024-03-14,1,1
2024-03-15,1,1
2024-03-21,1,1
2024-03-22,1,-1
2024-03-23,1,1
2024-03-27,1,-1
2024-04-02,4,2
2024-04-04,4,4
2024-04-05,3,3
2024-04-08,1,1
2024-04-09,1,1
2024-04-15,1,1
2024-04-16,1,-1
2024-04-17,2,-2
2024-04-20,1,1
2024-04-21,1,1
2024-04-23,1,-1
2024-04-26,1,1
2024-05-06,2,2
2024-05-08,3,1
2024-05-21,1,1
2024-05-31,1,-1
2024-06-05,1,1
2024-06-10,4,4
2024-06-11,1,1
2024-06-21,1,1
2024-06-24,8,6
2024-06-26,3,1
2024-06-27,2,2
2024-07-08,2,2
2024-07-17,1,-1
2024-07-18,2,2
2024-07-19,4,2
2024-07-22,6,4
2024-07-23,1,-1
