formatted_date,articles,sentiment
2023-08-01,1,-1
2023-08-02,9,-1
2023-08-03,4,2
2023-08-10,1,1
2023-08-15,2,0
2023-08-24,1,-1
2023-08-25,1,-1
2023-08-28,1,1
2023-09-05,1,1
2023-09-10,1,1
2023-09-11,1,1
2023-09-12,2,2
2023-09-14,1,1
2023-09-19,1,1
2023-09-20,1,1
2023-09-21,2,0
2023-09-25,3,3
2023-09-26,5,-1
2023-09-27,1,-1
2023-09-28,2,0
2023-10-03,2,0
2023-10-09,1,-1
2023-10-17,1,-1
2023-10-18,4,2
2023-10-19,1,1
2023-10-23,1,1
2023-10-24,1,-1
2023-10-30,6,-2
2023-10-31,3,3
2023-11-01,4,-4
2023-11-02,6,-4
2023-11-04,1,-1
2023-11-06,1,-1
2023-11-16,1,-1
2023-11-20,1,1
2023-11-25,1,-1
2023-12-01,1,1
2023-12-09,1,1
2023-12-10,1,-1
2023-12-11,3,-1
2023-12-13,1,1
2023-12-14,2,0
2023-12-15,1,1
2023-12-21,1,-1
2023-12-22,1,1
2023-12-28,1,1
2024-01-03,1,1
2024-01-07,1,-1
2024-01-10,1,1
2024-01-11,1,-1
2024-01-15,1,-1
2024-01-17,1,-1
2024-01-19,4,2
2024-01-21,1,-1
2024-01-23,3,-1
2024-01-24,5,-1
2024-01-26,2,-2
2024-01-30,1,1
2024-01-31,1,-1
2024-02-05,1,1
2024-02-07,1,-1
2024-02-09,1,1
2024-02-10,33,-31
2024-02-14,1,-1
2024-02-20,8,0
2024-02-21,5,-1
2024-02-22,5,1
2024-02-23,7,-1
2024-02-25,1,-1
2024-02-26,1,-1
2024-02-28,1,-1
2024-03-10,2,2
2024-03-11,1,1
2024-03-14,1,1
2024-03-15,1,-1
2024-03-18,1,1
2024-03-19,1,1
2024-03-26,1,-1
2024-04-01,1,-1
2024-04-03,2,-2
2024-04-08,1,-1
2024-04-09,1,1
2024-04-10,2,2
2024-04-17,1,1
2024-04-18,3,-1
2024-04-22,1,-1
2024-04-25,2,0
2024-04-27,1,1
2024-05-01,3,1
2024-05-02,5,-1
2024-05-03,4,-4
2024-05-04,4,-2
2024-05-05,1,-1
2024-05-07,6,-2
2024-05-08,1,-1
2024-05-09,2,0
2024-05-21,1,-1
2024-05-29,2,-2
2024-05-30,1,1
2024-06-06,2,2
2024-06-07,1,1
2024-06-10,1,1
2024-06-11,1,1
2024-06-12,1,1
2024-06-13,1,1
2024-06-14,3,3
2024-06-18,1,1
2024-06-19,1,1
2024-06-20,1,1
2024-06-22,1,1
2024-06-25,1,1
2024-06-27,1,1
2024-07-03,1,1
2024-07-04,1,-1
2024-07-10,1,-1
