formatted_date,articles,sentiment
2023-08-03,1,-1
2023-08-14,1,1
2023-08-16,1,-1
2023-08-30,1,1
2023-08-31,1,1
2023-09-05,1,1
2023-09-08,1,-1
2023-09-12,4,-4
2023-09-13,1,1
2023-09-18,1,1
2023-09-21,1,1
2023-09-24,2,0
2023-09-29,1,1
2023-10-01,1,-1
2023-10-06,1,1
2023-10-11,1,1
2023-10-12,1,1
2023-10-18,3,1
2023-10-19,3,1
2023-10-20,4,2
2023-10-21,1,-1
2023-10-22,1,1
2023-10-23,3,3
2023-10-24,1,1
2023-10-26,2,2
2023-10-31,1,-1
2023-11-01,1,1
2023-11-05,1,-1
2023-11-06,1,1
2023-11-22,1,1
2023-11-26,1,1
2023-11-29,1,1
2023-12-04,1,-1
2023-12-06,1,1
2023-12-08,1,1
2023-12-10,1,-1
2023-12-13,1,1
2023-12-14,1,1
2023-12-16,1,-1
2023-12-17,2,2
2023-12-19,1,1
2023-12-20,1,1
2023-12-21,1,1
2023-12-31,1,-1
2024-01-05,2,2
2024-01-08,1,1
2024-01-17,5,3
2024-01-18,4,4
2024-01-19,1,1
2024-01-20,2,2
2024-01-21,1,1
2024-01-22,2,-2
2024-01-23,1,1
2024-01-25,1,1
2024-01-29,1,1
2024-02-01,1,1
2024-02-05,2,2
2024-02-07,21,7
2024-02-14,2,0
2024-02-15,1,-1
2024-02-22,1,-1
2024-02-29,1,1
2024-03-11,2,2
2024-03-15,1,-1
2024-03-20,2,2
2024-03-21,1,1
2024-03-22,2,0
2024-03-24,1,-1
2024-03-31,1,-1
2024-04-08,1,1
2024-04-17,4,0
2024-04-18,5,1
2024-04-19,4,2
2024-04-20,1,1
2024-04-22,2,0
2024-04-23,1,1
2024-04-29,1,-1
2024-05-02,1,1
2024-05-07,1,-1
2024-05-14,1,-1
2024-05-21,1,1
2024-05-28,1,1
2024-05-30,1,1
2024-06-10,1,1
2024-06-13,1,1
2024-06-16,1,1
2024-06-17,1,-1
2024-06-19,1,1
2024-06-20,1,1
2024-06-23,1,-1
2024-06-27,1,1
2024-06-29,1,-1
2024-07-08,1,1
2024-07-17,4,4
2024-07-18,6,6
2024-07-19,4,4
2024-07-20,1,1
2024-07-22,3,1
2024-07-23,1,1
2024-07-25,2,0
