formatted_date,articles,sentiment
2023-07-31,1,-1
2023-08-01,5,1
2023-08-02,2,-2
2023-08-07,1,1
2023-08-15,1,1
2023-08-28,1,-1
2023-08-30,1,1
2023-09-05,2,-2
2023-09-06,3,-1
2023-09-10,1,-1
2023-09-12,2,-2
2023-09-13,2,0
2023-09-19,1,-1
2023-09-24,1,-1
2023-09-26,1,1
2023-10-03,1,-1
2023-10-06,1,-1
2023-10-10,2,0
2023-10-13,1,1
2023-10-15,1,-1
2023-10-19,1,1
2023-10-29,3,1
2023-10-30,7,-5
2023-10-31,6,-6
2023-11-02,1,1
2023-11-06,1,1
2023-11-09,1,-1
2023-12-01,1,-1
2023-12-02,1,-1
2023-12-07,1,-1
2023-12-09,1,1
2023-12-10,1,-1
2023-12-12,1,1
2023-12-14,1,-1
2023-12-24,1,-1
2024-01-05,1,1
2024-01-08,1,1
2024-01-09,1,-1
2024-01-19,1,1
2024-01-24,1,1
2024-01-25,1,1
2024-02-02,1,-1
2024-02-03,1,-1
2024-02-04,7,-1
2024-02-05,5,-3
2024-02-06,3,-1
2024-02-07,23,-23
2024-02-08,1,-1
2024-02-09,1,1
2024-02-15,1,1
2024-02-18,1,1
2024-03-08,1,1
2024-03-10,1,-1
2024-03-18,1,1
2024-03-21,1,-1
2024-03-24,1,-1
2024-04-02,1,-1
2024-04-12,1,1
2024-04-17,1,1
2024-04-25,1,-1
2024-04-28,3,1
2024-04-29,9,-9
2024-04-30,4,-2
2024-05-01,1,-1
2024-05-02,2,0
2024-05-06,4,2
2024-05-20,1,-1
2024-05-23,2,0
2024-05-29,1,-1
2024-05-31,1,-1
2024-06-03,3,-1
2024-06-06,1,-1
2024-06-08,1,-1
2024-06-13,1,1
2024-06-15,1,-1
2024-06-23,1,-1
2024-07-02,1,1
2024-07-03,1,-1
2024-07-11,1,1
2024-07-15,1,1
2024-07-17,1,1
