formatted_date,articles,sentiment
2023-08-02,1,-1
2023-08-08,1,-1
2023-08-09,2,0
2023-08-10,1,-1
2023-08-11,2,2
2023-08-14,1,-1
2023-08-21,1,1
2023-08-22,1,-1
2023-08-23,3,1
2023-08-24,2,2
2023-08-25,3,3
2023-08-27,1,1
2023-08-28,2,0
2023-08-29,1,-1
2023-08-30,1,1
2023-08-31,1,-1
2023-09-01,2,0
2023-09-04,2,2
2023-09-05,1,1
2023-09-10,1,1
2023-09-11,2,2
2023-09-17,1,1
2023-09-19,2,2
2023-09-20,1,-1
2023-09-21,2,2
2023-09-22,1,-1
2023-09-25,1,-1
2023-09-28,1,1
2023-10-03,1,1
2023-10-04,4,-2
2023-10-05,3,3
2023-10-06,3,-1
2023-10-12,1,-1
2023-10-13,1,1
2023-10-16,1,1
2023-10-22,1,1
2023-10-24,1,1
2023-10-25,1,1
2023-11-03,1,-1
2023-11-05,2,2
2023-11-06,1,1
2023-11-07,2,0
2023-11-08,2,2
2023-11-09,3,1
2023-11-10,1,-1
2023-11-14,1,1
2023-11-16,1,1
2023-11-17,1,1
2023-11-19,1,1
2023-11-26,1,1
2023-11-27,2,2
2023-11-30,1,1
2023-12-16,1,1
2023-12-18,1,1
2023-12-31,1,-1
2024-01-10,1,1
2024-01-11,1,1
2024-02-08,25,-17
2024-02-26,1,1
2024-02-28,4,4
2024-03-07,1,1
2024-03-11,3,3
2024-03-12,5,1
2024-03-13,4,2
2024-03-14,2,-2
2024-03-15,1,-1
2024-03-17,1,1
2024-03-18,1,-1
2024-03-19,1,1
2024-03-22,1,-1
2024-04-12,1,-1
2024-04-13,1,-1
2024-04-17,1,1
2024-04-23,1,-1
2024-04-24,2,-2
2024-05-05,1,1
2024-05-06,1,1
2024-05-07,2,0
2024-05-08,4,4
2024-05-09,2,0
2024-05-11,2,0
2024-05-12,1,1
2024-05-13,1,-1
2024-05-22,4,4
2024-05-23,2,0
2024-05-27,1,-1
2024-05-31,1,1
2024-06-08,1,-1
2024-06-21,1,1
2024-06-24,1,-1
2024-06-28,1,-1
2024-07-24,2,-2
