formatted_date,articles,sentiment
2023-08-02,1,1
2023-08-09,1,1
2023-08-10,9,1
2023-08-11,2,0
2023-08-13,1,1
2023-08-21,1,1
2023-09-05,1,1
2023-09-07,1,1
2023-10-15,2,2
2023-10-16,2,0
2023-10-30,1,1
2023-11-08,1,1
2023-11-09,5,1
2023-11-10,2,0
2023-11-11,1,1
2023-11-12,2,2
2023-11-30,2,2
2023-12-11,2,2
2023-12-14,2,2
2023-12-15,2,2
2023-12-20,1,1
2024-01-01,1,1
2024-02-08,23,-3
2024-02-11,1,1
2024-02-22,1,1
2024-02-23,1,1
2024-02-29,1,1
2024-03-07,1,1
2024-03-11,2,2
2024-03-12,11,7
2024-03-13,3,-1
2024-03-14,1,1
2024-04-23,1,1
2024-04-26,1,1
2024-04-29,1,1
2024-05-09,8,2
2024-05-10,4,4
2024-05-12,1,1
2024-05-21,2,2
2024-05-25,1,-1
2024-06-18,1,-1
2024-06-20,1,-1
2024-06-25,1,-1
2024-07-02,1,-1
2024-07-09,1,1
2024-07-11,1,-1
