formatted_date,articles,sentiment
2023-08-01,15,-5
2023-08-02,40,-4
2023-08-03,41,5
2023-08-02,1,-1
2023-08-03,32,-2
2023-08-04,22,0
2023-08-05,7,-1
2023-08-06,5,-1
2023-08-07,53,-7
2023-08-08,36,0
2023-08-09,21,-9
2023-08-10,17,5
2023-08-11,13,1
2023-08-12,3,-1
2023-08-13,8,2
2023-08-14,69,9
2023-08-15,27,7
2023-08-16,24,2
2023-08-17,20,8
2023-08-18,16,6
2023-08-19,6,2
2023-08-20,6,4
2023-08-21,16,2
2023-08-22,20,10
2023-08-23,11,-3
2023-08-24,11,1
2023-08-25,15,3
2023-08-26,2,2
2023-08-28,10,4
2023-08-29,9,5
2023-08-30,7,1
2023-08-31,12,0
2023-09-01,12,8
2023-09-02,5,3
2023-09-03,2,0
2023-09-04,7,3
2023-09-05,7,7
2023-09-06,13,1
2023-09-07,14,2
2023-09-08,6,-2
2023-09-09,1,-1
2023-09-10,2,0
2023-09-11,8,0
2023-09-12,13,-1
2023-09-13,8,4
2023-09-14,12,0
2023-09-15,14,6
2023-09-16,3,1
2023-09-17,6,2
2023-09-18,28,-10
2023-09-19,9,7
2023-09-20,12,-4
2023-09-21,10,0
2023-09-22,13,-1
2023-09-23,2,2
2023-09-24,4,2
2023-09-25,7,1
2023-09-26,6,-4
2023-09-27,9,1
2023-09-28,12,2
2023-09-29,10,-4
2023-09-30,2,-2
2023-10-01,3,1
2023-10-02,12,8
2023-10-03,13,3
2023-10-04,11,1
2023-10-05,11,3
2023-10-06,16,2
2023-10-07,2,2
2023-10-08,3,1
2023-10-09,8,-2
2023-10-10,6,-4
2023-10-11,7,5
2023-10-12,17,5
2023-10-13,12,10
2023-10-14,5,3
2023-10-15,6,4
2023-10-16,10,4
2023-10-17,9,1
2023-10-18,11,3
2023-10-19,4,2
2023-10-20,7,3
2023-10-21,4,2
2023-10-22,3,-1
2023-10-23,11,-1
2023-10-24,12,6
2023-10-25,20,2
2023-10-26,14,-2
2023-10-27,9,-5
2023-10-28,2,2
2023-10-29,8,0
2023-10-30,11,3
2023-10-31,24,6
2023-11-01,34,4
2023-11-02,61,7
2023-11-03,15,7
2023-11-04,4,2
2023-11-05,7,-3
2023-11-06,16,0
2023-11-07,13,-1
2023-11-08,9,-1
2023-11-09,10,-2
2023-11-10,5,5
2023-11-11,6,-2
2023-11-12,1,1
2023-11-13,7,-1
2023-11-14,9,3
2023-11-15,11,9
2023-11-16,5,5
2023-11-17,13,1
2023-11-18,3,-1
2023-11-19,5,-1
2023-11-20,13,-1
2023-11-21,17,1
2023-11-22,7,1
2023-11-23,7,1
2023-11-24,3,-3
2023-11-25,1,1
2023-11-26,2,0
2023-11-27,10,4
2023-11-28,14,0
2023-11-29,12,-4
2023-11-30,9,1
2023-12-01,9,1
2023-12-02,2,0
2023-12-03,5,1
2023-12-04,14,0
2023-12-05,14,2
2023-12-06,27,1
2023-12-07,24,4
2023-12-08,9,3
2023-12-09,2,-2
2023-12-10,1,1
2023-12-11,18,6
2023-12-12,5,1
2023-12-13,9,5
2023-12-14,11,1
2023-12-15,11,-1
2023-12-16,4,-4
2023-12-18,13,3
2023-12-19,12,8
2023-12-20,13,3
2023-12-21,14,2
2023-12-22,8,-2
2023-12-23,4,-2
2023-12-24,1,-1
2023-12-25,3,1
2023-12-26,5,1
2023-12-27,8,6
2023-12-28,10,0
2023-12-29,7,5
2023-12-30,2,2
2023-12-31,2,0
2024-01-01,3,1
2024-01-02,8,6
2024-01-03,14,2
2024-01-04,20,-4
2024-01-05,18,2
2024-01-06,3,1
2024-01-07,2,2
2024-01-08,14,0
2024-01-09,14,6
2024-01-10,8,4
2024-01-11,28,-16
2024-01-12,9,7
2024-01-13,2,-2
2024-01-14,4,4
2024-01-15,4,2
2024-01-16,14,6
2024-01-17,17,9
2024-01-18,13,1
2024-01-19,11,5
2024-01-20,7,1
2024-01-21,5,3
2024-01-22,42,-12
2024-01-23,13,3
2024-01-24,19,-3
2024-01-25,28,-6
2024-01-26,18,0
2024-01-27,3,-1
2024-01-28,6,6
2024-01-29,18,-2
2024-01-30,26,-8
2024-01-31,18,-2
2024-02-01,8,2
2024-02-02,5,1
2024-02-03,3,-1
2024-02-04,9,3
2024-02-05,16,2
2024-02-06,32,16
2024-02-07,50,10
2024-02-08,61,9
2024-02-09,24,6
