formatted_date,articles,sentiment
2023-08-02,1,-1
2023-08-08,1,-1
2023-08-09,1,-1
2023-08-10,2,0
2023-08-11,2,-2
2023-08-13,4,0
2023-08-14,3,3
2023-08-15,2,-2
2023-08-16,1,-1
2023-08-19,1,-1
2023-08-20,1,1
2023-08-21,1,1
2023-08-28,1,1
2023-09-08,1,-1
2023-09-11,1,1
2023-09-18,1,-1
2023-09-19,1,1
2023-09-25,1,1
2023-09-26,1,-1
2023-10-04,1,-1
2023-10-13,1,1
2023-10-22,1,-1
2023-10-23,1,-1
2023-10-26,3,-1
2023-10-29,2,-2
2023-10-30,1,-1
2023-11-02,1,1
2023-11-08,1,-1
2023-11-09,1,-1
2023-11-11,2,-2
2023-11-12,2,-2
2023-11-13,2,2
2023-11-14,2,-2
2023-11-15,2,-2
2023-11-16,1,1
2023-11-19,2,-2
2023-11-26,1,-1
2023-12-14,1,-1
2023-12-26,1,1
2024-01-10,1,1
2024-01-11,1,1
2024-01-31,1,-1
2024-02-13,21,-21
2024-02-14,1,1
2024-02-23,1,1
2024-02-25,1,1
2024-02-26,1,1
2024-03-05,1,-1
2024-03-06,1,1
2024-03-15,1,-1
2024-03-18,1,1
2024-03-22,1,1
2024-03-27,1,-1
2024-03-28,2,0
2024-03-31,2,-2
2024-04-01,14,-10
2024-04-02,2,-2
2024-04-03,1,-1
2024-04-04,1,1
2024-04-05,1,-1
2024-04-06,1,-1
2024-04-07,1,-1
2024-04-08,1,-1
2024-04-09,1,-1
2024-04-14,1,1
2024-04-29,1,-1
2024-05-09,6,0
2024-05-10,5,-1
2024-05-12,1,1
2024-05-13,1,-1
2024-05-20,2,0
2024-06-05,2,-2
2024-06-06,1,-1
2024-06-07,1,-1
2024-06-09,1,1
2024-06-17,3,3
2024-06-18,2,0
2024-06-19,1,-1
2024-06-24,3,-1
2024-06-27,1,-1
2024-07-15,1,1
2024-07-19,2,-2
2024-07-21,2,0
2024-07-23,1,-1
2024-07-25,2,0
