formatted_date,articles,sentiment
2023-08-02,1,1
2023-08-07,1,1
2023-08-08,1,1
2023-08-11,1,-1
2023-08-14,2,0
2023-08-16,1,-1
2023-08-17,1,1
2023-08-18,1,1
2023-08-21,3,1
2023-08-22,1,1
2023-08-23,1,1
2023-08-24,1,-1
2023-08-25,1,-1
2023-09-05,1,1
2023-09-07,1,-1
2023-09-08,1,-1
2023-09-18,1,-1
2023-09-22,1,1
2023-09-27,1,1
2023-10-19,1,1
2023-10-20,1,1
2023-10-25,2,0
2023-11-21,1,1
2023-11-28,2,-2
2023-12-05,1,1
2023-12-08,1,-1
2023-12-11,2,2
2024-01-09,1,1
2024-01-29,2,2
2024-02-04,2,0
2024-02-05,2,0
2024-02-07,1,1
2024-02-11,1,1
2024-02-14,5,-5
2024-02-26,2,2
2024-03-02,1,1
2024-03-03,1,1
2024-03-04,2,2
2024-03-05,1,1
2024-03-11,2,2
2024-03-14,2,0
2024-04-03,2,0
2024-04-10,3,-3
2024-04-12,2,0
2024-04-14,1,-1
2024-04-16,2,0
2024-04-18,1,1
2024-04-19,1,-1
2024-04-23,1,1
2024-04-26,1,-1
2024-04-28,1,-1
2024-04-30,2,0
2024-05-02,1,-1
2024-05-05,1,1
2024-05-10,2,2
2024-05-12,1,1
2024-05-13,1,1
2024-05-14,1,1
2024-05-16,1,-1
2024-05-22,1,1
2024-05-23,2,2
2024-05-29,1,1
2024-05-30,1,-1
2024-06-03,1,1
2024-06-09,1,-1
2024-06-10,11,1
2024-06-11,1,1
2024-06-18,1,-1
2024-06-21,1,-1
2024-06-25,1,-1
2024-07-01,1,1
2024-07-02,1,1
2024-07-04,1,1
2024-07-11,2,0
2024-07-12,1,-1
2024-07-23,1,1
2024-07-24,3,3
2024-07-25,2,2
