formatted_date,articles,sentiment
2023-08-01,1,1
2023-08-02,5,-1
2023-08-03,1,1
2023-08-04,2,2
2023-08-17,1,-1
2023-08-30,2,0
2023-09-05,1,1
2023-09-14,2,-2
2023-09-15,1,-1
2023-09-19,2,-2
2023-09-20,1,-1
2023-09-21,3,3
2023-09-27,1,1
2023-10-12,1,1
2023-10-19,1,-1
2023-11-01,4,0
2023-11-02,6,0
2023-11-05,2,-2
2023-11-06,2,2
2023-11-07,1,-1
2023-11-13,1,1
2023-11-22,1,-1
2023-11-29,1,-1
2023-12-04,2,2
2023-12-12,1,1
2023-12-15,2,0
2023-12-18,1,1
2024-01-08,1,1
2024-01-10,1,1
2024-01-12,1,-1
2024-01-19,1,1
2024-01-30,1,1
2024-02-06,1,1
2024-02-07,3,3
2024-02-08,1,1
2024-02-10,6,-6
2024-02-11,2,2
2024-02-14,1,-1
2024-02-19,1,1
2024-02-20,3,1
2024-02-21,5,1
2024-02-22,6,-4
2024-02-23,1,1
2024-02-24,1,1
2024-02-25,1,-1
2024-02-26,3,1
2024-02-29,1,1
2024-03-04,2,0
2024-03-11,1,1
2024-03-18,1,-1
2024-03-19,1,-1
2024-03-26,1,1
2024-03-27,2,0
2024-03-28,2,0
2024-03-30,1,1
2024-04-03,1,1
2024-04-13,1,-1
2024-04-15,1,-1
2024-04-23,1,-1
2024-04-30,1,-1
2024-05-01,3,3
2024-05-02,9,1
2024-05-03,4,0
2024-05-04,1,1
2024-05-06,2,0
2024-05-13,2,0
2024-05-15,1,1
2024-05-22,1,1
2024-05-27,1,-1
2024-05-30,1,1
2024-06-03,1,-1
2024-06-04,1,-1
2024-06-10,2,0
2024-06-16,1,1
2024-06-20,1,1
2024-06-25,1,-1
2024-06-28,2,0
2024-07-03,1,1
2024-07-11,2,-2
2024-07-15,1,-1
2024-07-17,2,0
2024-07-18,1,-1
2024-07-19,2,-2
2024-07-23,1,-1
2024-07-25,2,-2
