formatted_date,articles,sentiment
2023-08-08,2,0
2023-08-09,2,0
2023-08-11,2,-2
2023-08-12,1,-1
2023-08-15,1,-1
2023-08-17,2,0
2023-09-07,1,1
2023-09-25,1,1
2023-09-26,1,1
2023-09-28,3,3
2023-09-29,2,-2
2023-10-03,1,1
2023-10-04,1,-1
2023-10-11,2,2
2023-10-12,1,-1
2023-10-18,1,-1
2023-10-26,1,1
2023-10-30,2,2
2023-11-01,1,1
2023-11-06,1,1
2023-11-07,1,1
2023-11-09,4,0
2023-11-15,1,1
2023-11-23,1,1
2024-01-01,1,1
2024-01-23,1,-1
2024-02-05,1,-1
2024-02-08,16,-12
2024-03-19,1,1
2024-03-21,9,-1
2024-03-23,1,-1
2024-03-26,1,1
2024-04-09,1,1
2024-05-01,1,1
2024-05-15,2,2
2024-05-16,2,-2
2024-05-17,2,-2
2024-06-04,1,1
2024-06-10,1,1
2024-06-26,1,1
2024-07-08,2,2
2024-07-17,1,-1
