formatted_date,articles,sentiment
2023-08-03,1,-1
2023-08-04,1,-1
2023-08-06,3,3
2023-08-07,5,-1
2023-08-08,2,2
2023-08-10,1,-1
2023-08-17,1,-1
2023-08-24,1,1
2023-08-31,2,2
2023-09-07,1,-1
2023-09-14,1,1
2023-09-18,1,1
2023-09-19,1,-1
2023-09-24,1,-1
2023-09-25,1,-1
2023-10-02,1,1
2023-10-03,1,1
2023-10-16,1,1
2023-11-02,1,-1
2023-11-03,1,1
2023-11-05,2,-2
2023-11-06,7,-1
2023-11-07,11,-3
2023-11-08,1,1
2023-11-19,2,2
2023-11-21,1,-1
2023-12-04,1,-1
2023-12-05,1,-1
2023-12-10,1,-1
2023-12-11,1,1
2023-12-14,1,-1
2023-12-27,1,1
2023-12-28,1,1
2023-12-30,1,1
2024-01-02,2,0
2024-01-03,1,-1
2024-01-06,1,1
2024-01-09,1,1
2024-01-29,1,1
2024-02-01,1,1
2024-02-02,1,1
2024-02-05,1,1
2024-02-08,25,-17
2024-02-17,1,-1
2024-02-19,3,1
2024-02-20,13,-1
2024-02-21,5,1
2024-02-23,1,1
2024-02-26,1,1
2024-02-27,3,-1
2024-03-13,1,1
2024-03-14,1,-1
2024-03-15,1,-1
2024-03-29,1,-1
2024-04-01,1,1
2024-04-03,1,1
2024-04-10,1,1
2024-04-12,2,0
2024-04-15,1,-1
2024-04-17,2,0
2024-04-18,1,-1
2024-04-22,4,2
2024-04-23,3,3
2024-04-24,3,-1
2024-04-26,1,1
2024-04-27,1,1
2024-05-02,2,2
2024-05-05,4,0
2024-05-06,6,0
2024-05-07,5,-1
2024-05-08,2,-2
2024-05-21,1,1
2024-05-28,1,1
2024-06-18,1,1
2024-06-27,1,1
2024-07-05,1,1
2024-07-22,1,-1
