formatted_date,articles,sentiment
2023-08-01,1,1
2023-08-02,6,-2
2023-08-03,2,2
2023-08-04,1,-1
2023-08-06,1,1
2023-08-08,2,0
2023-08-09,1,1
2023-08-10,1,-1
2023-08-11,1,1
2023-08-13,4,-2
2023-08-14,17,-1
2023-08-15,1,1
2023-08-16,2,-2
2023-08-17,1,1
2023-08-18,3,-3
2023-08-23,2,-2
2023-08-24,1,1
2023-08-25,1,-1
2023-08-28,1,1
2023-08-31,2,0
2023-09-01,1,1
2023-09-06,2,2
2023-09-08,2,0
2023-09-12,1,1
2023-09-15,1,1
2023-09-20,1,1
2023-09-22,2,2
2023-09-25,1,1
2023-09-28,1,-1
2023-10-19,1,-1
2023-10-25,1,1
2023-10-31,2,-2
2023-11-02,1,1
2023-11-08,4,2
2023-11-09,4,-2
2023-11-10,1,1
2023-11-13,2,-2
2023-11-15,1,1
2023-11-20,1,1
2023-11-21,2,-2
2023-11-22,1,-1
2023-11-24,2,2
2023-11-26,1,1
2023-11-27,2,0
2023-11-29,4,0
2023-11-30,1,-1
2023-12-01,1,1
2023-12-04,1,1
2023-12-05,2,-2
2023-12-08,1,1
2023-12-12,2,0
2023-12-14,3,3
2023-12-23,1,1
2023-12-24,1,1
2023-12-27,1,1
2023-12-28,3,1
2023-12-30,1,-1
2024-01-02,1,1
2024-01-03,2,2
2024-01-04,2,0
2024-01-08,1,1
2024-01-16,1,1
2024-01-18,1,1
2024-01-19,1,-1
2024-01-25,1,1
2024-02-01,1,-1
2024-02-09,10,-10
2024-02-23,1,1
2024-02-27,2,2
2024-02-29,1,1
2024-03-02,1,-1
2024-03-04,2,2
2024-03-11,2,2
2024-03-13,4,0
2024-03-14,2,-2
2024-03-18,1,-1
2024-03-22,1,1
2024-03-24,6,-2
2024-03-25,8,-2
2024-03-26,2,0
2024-03-27,1,-1
2024-03-29,1,-1
2024-04-01,1,1
2024-04-02,2,0
2024-04-03,2,0
2024-04-04,1,-1
2024-04-05,1,-1
2024-04-09,1,1
2024-04-10,3,3
2024-04-11,4,4
2024-04-12,2,0
2024-04-16,1,1
2024-04-18,1,1
2024-04-20,1,-1
2024-04-22,1,-1
2024-04-23,2,0
2024-04-24,3,3
2024-04-25,2,0
2024-05-02,1,-1
2024-05-06,1,-1
2024-05-12,4,-4
2024-05-13,4,0
2024-05-14,5,-1
2024-05-17,1,-1
2024-05-23,2,-2
2024-05-24,1,-1
2024-06-02,2,0
2024-06-03,2,2
2024-06-04,1,1
2024-06-12,3,3
2024-06-13,1,1
2024-06-14,1,1
2024-06-21,1,1
2024-06-24,1,1
2024-06-27,1,-1
2024-06-28,1,1
2024-07-05,1,1
2024-07-14,1,1
2024-07-16,1,-1
2024-07-21,1,1
2024-07-23,1,1
2024-07-24,1,-1
