formatted_date,articles,sentiment
2023-08-07,1,1
2023-08-14,5,-1
2023-08-15,2,-2
2023-09-11,1,1
2023-10-10,1,1
2023-10-16,2,2
2023-11-06,2,0
2023-11-08,2,0
2023-11-13,5,-1
2023-11-14,2,-2
2023-12-13,2,0
2023-12-14,1,1
2024-01-10,2,2
2024-01-11,1,1
2024-01-29,2,2
2024-02-01,2,0
2024-02-09,10,-8
2024-02-26,1,-1
2024-03-07,1,-1
2024-03-13,2,2
2024-03-15,2,2
2024-03-18,1,1
2024-03-19,2,2
2024-03-25,2,2
2024-03-26,5,1
2024-03-27,2,-2
2024-03-28,3,-1
2024-03-29,1,-1
2024-04-04,3,1
2024-04-05,4,4
2024-04-23,2,2
2024-04-24,2,2
2024-04-26,2,2
2024-05-08,2,0
2024-05-15,5,-1
2024-05-16,2,-2
2024-05-22,2,2
2024-05-23,1,1
2024-05-27,1,-1
2024-05-29,1,-1
2024-05-31,1,-1
2024-07-15,1,1
2024-07-22,1,1
